Source,input,file,,,,,,,,,,,,,,,
,X_b,Y_b,Z_b,X_e,Y_e,Z_e,dCL,sigmaz0,#lanes,Emis,Hw1,dw1,Hw2,dw2,Depth,Wtop,Wbottom
A22,645984.22,4974938.27,1,645958.81,4974841.56,1,0,0,4,1,0,0,0,0,0,0,0
A22,645958.81,4974841.56,1,645937.24,4974743.92,1,0,0,4,1,0,0,0,0,0,0,0
A22,645937.24,4974743.92,1,645919.55,4974645.51,1,0,0,4,1,0,0,0,0,0,0,0
A22,645919.55,4974645.51,1,645906.16,4974546.42,1,0,0,4,1,0,0,0,0,0,0,0
A22,645906.16,4974546.42,1,645896.5,4974446.89,1,0,0,4,1,0,0,0,0,0,0,0
A22,645896.5,4974446.89,1,645890.82,4974347.06,1,0,0,4,1,0,0,0,0,0,0,0
A22,645890.82,4974347.06,1,645889.11,4974247.09,1,0,0,4,1,0,0,0,0,0,0,0
A22,645889.11,4974247.09,1,645891.39,4974147.12,1,0,0,4,1,0,0,0,0,0,0,0
A22,645891.39,4974147.12,1,645897.81,4974047.33,1,0,0,4,1,0,0,0,0,0,0,0
A22,645897.81,4974047.33,1,645908.01,4973947.87,1,0,0,4,1,0,0,0,0,0,0,0
A22,645908.01,4973947.87,1,645922.3,4973848.9,1,0,0,4,1,0,0,0,0,0,0,0
A22,645922.3,4973848.9,1,645938.66,4973750.25,1,0,0,4,1,0,0,0,0,0,0,0
A22,645938.66,4973750.25,1,645955.06,4973651.6,1,0,0,4,1,0,0,0,0,0,0,0
A22,645955.06,4973651.6,1,645971.46,4973552.96,1,0,0,4,1,0,0,0,0,0,0,0
A22,645971.46,4973552.96,1,645987.89,4973454.31,1,0,0,4,1,0,0,0,0,0,0,0
A22,645987.89,4973454.31,1,646004.31,4973355.67,1,0,0,4,1,0,0,0,0,0,0,0
A22,646004.31,4973355.67,1,646020.74,4973257.03,1,0,0,4,1,0,0,0,0,0,0,0
A22,646020.74,4973257.03,1,646037.16,4973158.39,1,0,0,4,1,0,0,0,0,0,0,0
A22,646037.16,4973158.39,1,646053.59,4973059.75,1,0,0,4,1,0,0,0,0,0,0,0
A22,646053.59,4973059.75,1,646070.02,4972961.11,1,0,0,4,1,0,0,0,0,0,0,0
A22,646070.02,4972961.11,1,646085.54,4972862.32,1,0,0,4,1,0,0,0,0,0,0,0
A22,646085.54,4972862.32,1,646098.4,4972763.16,1,0,0,4,1,0,0,0,0,0,0,0
A22,646098.4,4972763.16,1,646107.63,4972663.59,1,0,0,4,1,0,0,0,0,0,0,0
A22,646107.63,4972663.59,1,646113.62,4972563.77,1,0,0,4,1,0,0,0,0,0,0,0
A22,646113.62,4972563.77,1,646116.28,4972463.81,1,0,0,4,1,0,0,0,0,0,0,0
A22,646116.28,4972463.81,1,646115.75,4972363.82,1,0,0,4,1,0,0,0,0,0,0,0
A22,646115.75,4972363.82,1,646114.38,4972263.83,1,0,0,4,1,0,0,0,0,0,0,0
A22,646114.38,4972263.83,1,646112.92,4972163.84,1,0,0,4,1,0,0,0,0,0,0,0
A22,646112.92,4972163.84,1,646111.43,4972063.85,1,0,0,4,1,0,0,0,0,0,0,0
A22,646111.43,4972063.85,1,646109.94,4971963.86,1,0,0,4,1,0,0,0,0,0,0,0
A22,646109.94,4971963.86,1,646108.45,4971863.87,1,0,0,4,1,0,0,0,0,0,0,0
A22,646108.45,4971863.87,1,646106.96,4971763.88,1,0,0,4,1,0,0,0,0,0,0,0
A22,646106.96,4971763.88,1,646105.47,4971663.89,1,0,0,4,1,0,0,0,0,0,0,0
A22,646105.47,4971663.89,1,646104.03,4971563.9,1,0,0,4,1,0,0,0,0,0,0,0
A22,646104.03,4971563.9,1,646102.69,4971463.91,1,0,0,4,1,0,0,0,0,0,0,0
A22,646102.69,4971463.91,1,646101.34,4971363.92,1,0,0,4,1,0,0,0,0,0,0,0
A22,646101.34,4971363.92,1,646100.0,4971263.93,1,0,0,4,1,0,0,0,0,0,0,0
A22,646100.0,4971263.93,1,646098.66,4971163.94,1,0,0,4,1,0,0,0,0,0,0,0
A22,646098.66,4971163.94,1,646097.32,4971063.95,1,0,0,4,1,0,0,0,0,0,0,0
A22,646097.32,4971063.95,1,646095.98,4970963.96,1,0,0,4,1,0,0,0,0,0,0,0
A22,646095.98,4970963.96,1,646094.79,4970863.96,1,0,0,4,1,0,0,0,0,0,0,0
A22,646094.79,4970863.96,1,646095.81,4970763.98,1,0,0,4,1,0,0,0,0,0,0,0
A22,646095.81,4970763.98,1,646100.28,4970664.08,1,0,0,4,1,0,0,0,0,0,0,0
A22,646100.28,4970664.08,1,646108.39,4970564.42,1,0,0,4,1,0,0,0,0,0,0,0
A22,646108.39,4970564.42,1,646119.39,4970465.04,1,0,0,4,1,0,0,0,0,0,0,0
A22,646119.39,4970465.04,1,646131.56,4970365.78,1,0,0,4,1,0,0,0,0,0,0,0
A22,646131.56,4970365.78,1,646143.74,4970266.52,1,0,0,4,1,0,0,0,0,0,0,0
A22,646143.74,4970266.52,1,646155.91,4970167.27,1,0,0,4,1,0,0,0,0,0,0,0
A22,646155.91,4970167.27,1,646168.13,4970068.02,1,0,0,4,1,0,0,0,0,0,0,0
A22,646168.13,4970068.02,1,646180.34,4969968.77,1,0,0,4,1,0,0,0,0,0,0,0
A22,646180.34,4969968.77,1,646192.55,4969869.51,1,0,0,4,1,0,0,0,0,0,0,0
A22,646192.55,4969869.51,1,646204.8,4969770.27,1,0,0,4,1,0,0,0,0,0,0,0
A22,646204.8,4969770.27,1,646217.18,4969671.04,1,0,0,4,1,0,0,0,0,0,0,0
A22,646217.18,4969671.04,1,646229.56,4969571.81,1,0,0,4,1,0,0,0,0,0,0,0
A22,646229.56,4969571.81,1,646241.94,4969472.57,1,0,0,4,1,0,0,0,0,0,0,0
A22,646241.94,4969472.57,1,646253.67,4969373.27,1,0,0,4,1,0,0,0,0,0,0,0
A22,646253.67,4969373.27,1,646262.45,4969273.66,1,0,0,4,1,0,0,0,0,0,0,0
A22,646262.45,4969273.66,1,646268.05,4969173.82,1,0,0,4,1,0,0,0,0,0,0,0
A22,646268.05,4969173.82,1,646272.64,4969073.93,1,0,0,4,1,0,0,0,0,0,0,0
A22,646272.64,4969073.93,1,646277.23,4968974.03,1,0,0,4,1,0,0,0,0,0,0,0
A22,646277.23,4968974.03,1,646281.82,4968874.14,1,0,0,4,1,0,0,0,0,0,0,0
A22,646281.82,4968874.14,1,646286.41,4968774.24,1,0,0,4,1,0,0,0,0,0,0,0
A22,646286.41,4968774.24,1,646291.0,4968674.35,1,0,0,4,1,0,0,0,0,0,0,0
A22,646291.0,4968674.35,1,646295.59,4968574.46,1,0,0,4,1,0,0,0,0,0,0,0
A22,646295.59,4968574.46,1,646300.18,4968474.56,1,0,0,4,1,0,0,0,0,0,0,0
A22,646300.18,4968474.56,1,646304.77,4968374.67,1,0,0,4,1,0,0,0,0,0,0,0
A22,646304.77,4968374.67,1,646309.36,4968274.77,1,0,0,4,1,0,0,0,0,0,0,0
A22,646309.36,4968274.77,1,646313.95,4968174.88,1,0,0,4,1,0,0,0,0,0,0,0
A22,646313.95,4968174.88,1,646318.54,4968074.98,1,0,0,4,1,0,0,0,0,0,0,0
A22,646318.54,4968074.98,1,646323.13,4967975.09,1,0,0,4,1,0,0,0,0,0,0,0
A22,646323.13,4967975.09,1,646327.72,4967875.19,1,0,0,4,1,0,0,0,0,0,0,0
A22,646327.72,4967875.19,1,646332.31,4967775.3,1,0,0,4,1,0,0,0,0,0,0,0
A22,646332.31,4967775.3,1,646337.84,4967675.45,1,0,0,4,1,0,0,0,0,0,0,0
A22,646337.84,4967675.45,1,646343.63,4967575.62,1,0,0,4,1,0,0,0,0,0,0,0
A22,646343.63,4967575.62,1,646349.48,4967475.79,1,0,0,4,1,0,0,0,0,0,0,0
A22,646349.48,4967475.79,1,646355.33,4967375.96,1,0,0,4,1,0,0,0,0,0,0,0
A22,646355.33,4967375.96,1,646361.18,4967276.13,1,0,0,4,1,0,0,0,0,0,0,0
A22,646361.18,4967276.13,1,646367.03,4967176.3,1,0,0,4,1,0,0,0,0,0,0,0
A22,646367.03,4967176.3,1,646372.88,4967076.48,1,0,0,4,1,0,0,0,0,0,0,0
A22,646372.88,4967076.48,1,646378.72,4966976.65,1,0,0,4,1,0,0,0,0,0,0,0
A22,646378.72,4966976.65,1,646384.57,4966876.82,1,0,0,4,1,0,0,0,0,0,0,0
A22,646384.57,4966876.82,1,646390.42,4966776.99,1,0,0,4,1,0,0,0,0,0,0,0
A22,646390.42,4966776.99,1,646396.27,4966677.16,1,0,0,4,1,0,0,0,0,0,0,0
A22,646396.27,4966677.16,1,646402.12,4966577.33,1,0,0,4,1,0,0,0,0,0,0,0
A22,646402.12,4966577.33,1,646407.97,4966477.5,1,0,0,4,1,0,0,0,0,0,0,0
A22,646407.97,4966477.5,1,646413.82,4966377.67,1,0,0,4,1,0,0,0,0,0,0,0
A22,646413.82,4966377.67,1,646419.67,4966277.85,1,0,0,4,1,0,0,0,0,0,0,0
A22,646419.67,4966277.85,1,646425.51,4966178.02,1,0,0,4,1,0,0,0,0,0,0,0
A22,646425.51,4966178.02,1,646431.36,4966078.19,1,0,0,4,1,0,0,0,0,0,0,0
A22,646431.36,4966078.19,1,646436.89,4965978.34,1,0,0,4,1,0,0,0,0,0,0,0
A22,646436.89,4965978.34,1,646441.3,4965878.44,1,0,0,4,1,0,0,0,0,0,0,0
A22,646441.3,4965878.44,1,646444.09,4965778.48,1,0,0,4,1,0,0,0,0,0,0,0
A22,646444.09,4965778.48,1,646445.15,4965678.49,1,0,0,4,1,0,0,0,0,0,0,0
A22,646445.15,4965678.49,1,646444.53,4965578.5,1,0,0,4,1,0,0,0,0,0,0,0
A22,646444.53,4965578.5,1,646442.28,4965478.53,1,0,0,4,1,0,0,0,0,0,0,0
A22,646442.28,4965478.53,1,646438.4,4965378.61,1,0,0,4,1,0,0,0,0,0,0,0
A22,646438.4,4965378.61,1,646432.76,4965278.77,1,0,0,4,1,0,0,0,0,0,0,0
A22,646432.76,4965278.77,1,646425.46,4965179.04,1,0,0,4,1,0,0,0,0,0,0,0
A22,646425.46,4965179.04,1,646416.83,4965079.41,1,0,0,4,1,0,0,0,0,0,0,0
