Source,input,file,,,,,,,,,,,,,,,
,X_b,Y_b,Z_b,X_e,Y_e,Z_e,dCL,sigmaz0,#lanes,Emis,Hw1,dw1,Hw2,dw2,Depth,Wtop,Wbottom
A22,639736.26,5045478.81,1,639658.29,5045416.2,1,0,0,4,1,0,0,0,0,0,0,0
A22,639658.29,5045416.2,1,639580.3,5045353.61,1,0,0,4,1,0,0,0,0,0,0,0
A22,639580.3,5045353.61,1,639502.26,5045291.08,1,0,0,4,1,0,0,0,0,0,0,0
A22,639502.26,5045291.08,1,639424.22,5045228.55,1,0,0,4,1,0,0,0,0,0,0,0
A22,639424.22,5045228.55,1,639345.61,5045166.75,1,0,0,4,1,0,0,0,0,0,0,0
A22,639345.61,5045166.75,1,639269.14,5045102.36,1,0,0,4,1,0,0,0,0,0,0,0
A22,639269.14,5045102.36,1,639198.63,5045031.52,1,0,0,4,1,0,0,0,0,0,0,0
A22,639198.63,5045031.52,1,639135.55,5044954.01,1,0,0,4,1,0,0,0,0,0,0,0
A22,639135.55,5044954.01,1,639080.46,5044870.61,1,0,0,4,1,0,0,0,0,0,0,0
A22,639080.46,5044870.61,1,639033.91,5044782.16,1,0,0,4,1,0,0,0,0,0,0,0
A22,639033.91,5044782.16,1,638996.34,5044689.55,1,0,0,4,1,0,0,0,0,0,0,0
A22,638996.34,5044689.55,1,638968.22,5044593.63,1,0,0,4,1,0,0,0,0,0,0,0
A22,638968.22,5044593.63,1,638949.92,5044495.35,1,0,0,4,1,0,0,0,0,0,0,0
A22,638949.92,5044495.35,1,638941.24,5044395.77,1,0,0,4,1,0,0,0,0,0,0,0
A22,638941.24,5044395.77,1,638942.9,5044295.84,1,0,0,4,1,0,0,0,0,0,0,0
A22,638942.9,5044295.84,1,638953.21,5044196.39,1,0,0,4,1,0,0,0,0,0,0,0
A22,638953.21,5044196.39,1,638964.8,5044097.06,1,0,0,4,1,0,0,0,0,0,0,0
A22,638964.8,5044097.06,1,638977.35,5043997.85,1,0,0,4,1,0,0,0,0,0,0,0
A22,638977.35,5043997.85,1,638989.91,5043898.65,1,0,0,4,1,0,0,0,0,0,0,0
A22,638989.91,5043898.65,1,639002.46,5043799.44,1,0,0,4,1,0,0,0,0,0,0,0
A22,639002.46,5043799.44,1,639015.02,5043700.23,1,0,0,4,1,0,0,0,0,0,0,0
A22,639015.02,5043700.23,1,639027.58,5043601.02,1,0,0,4,1,0,0,0,0,0,0,0
A22,639027.58,5043601.02,1,639040.13,5043501.81,1,0,0,4,1,0,0,0,0,0,0,0
A22,639040.13,5043501.81,1,639052.69,5043402.6,1,0,0,4,1,0,0,0,0,0,0,0
A22,639052.69,5043402.6,1,639065.25,5043303.39,1,0,0,4,1,0,0,0,0,0,0,0
A22,639065.25,5043303.39,1,639077.8,5043204.19,1,0,0,4,1,0,0,0,0,0,0,0
A22,639077.8,5043204.19,1,639090.36,5043104.98,1,0,0,4,1,0,0,0,0,0,0,0
A22,639090.36,5043104.98,1,639102.99,5043005.78,1,0,0,4,1,0,0,0,0,0,0,0
A22,639102.99,5043005.78,1,639117.47,5042906.84,1,0,0,4,1,0,0,0,0,0,0,0
A22,639117.47,5042906.84,1,639135.24,5042808.43,1,0,0,4,1,0,0,0,0,0,0,0
A22,639135.24,5042808.43,1,639155.28,5042710.46,1,0,0,4,1,0,0,0,0,0,0,0
A22,639155.28,5042710.46,1,639175.36,5042612.5,1,0,0,4,1,0,0,0,0,0,0,0
A22,639175.36,5042612.5,1,639195.44,5042514.53,1,0,0,4,1,0,0,0,0,0,0,0
A22,639195.44,5042514.53,1,639215.52,5042416.57,1,0,0,4,1,0,0,0,0,0,0,0
A22,639215.52,5042416.57,1,639235.6,5042318.61,1,0,0,4,1,0,0,0,0,0,0,0
A22,639235.6,5042318.61,1,639255.68,5042220.64,1,0,0,4,1,0,0,0,0,0,0,0
A22,639255.68,5042220.64,1,639275.76,5042122.68,1,0,0,4,1,0,0,0,0,0,0,0
A22,639275.76,5042122.68,1,639295.84,5042024.72,1,0,0,4,1,0,0,0,0,0,0,0
A22,639295.84,5042024.72,1,639315.94,5041926.76,1,0,0,4,1,0,0,0,0,0,0,0
A22,639315.94,5041926.76,1,639336.05,5041828.8,1,0,0,4,1,0,0,0,0,0,0,0
A22,639336.05,5041828.8,1,639355.4,5041730.69,1,0,0,4,1,0,0,0,0,0,0,0
A22,639355.4,5041730.69,1,639373.36,5041632.33,1,0,0,4,1,0,0,0,0,0,0,0
A22,639373.36,5041632.33,1,639386.48,5041533.21,1,0,0,4,1,0,0,0,0,0,0,0
A22,639386.48,5041533.21,1,639394.0,5041433.51,1,0,0,4,1,0,0,0,0,0,0,0
A22,639394.0,5041433.51,1,639396.09,5041333.54,1,0,0,4,1,0,0,0,0,0,0,0
A22,639396.09,5041333.54,1,639393.24,5041233.59,1,0,0,4,1,0,0,0,0,0,0,0
A22,639393.24,5041233.59,1,639389.18,5041133.67,1,0,0,4,1,0,0,0,0,0,0,0
A22,639389.18,5041133.67,1,639384.38,5041033.79,1,0,0,4,1,0,0,0,0,0,0,0
A22,639384.38,5041033.79,1,639379.59,5040933.9,1,0,0,4,1,0,0,0,0,0,0,0
A22,639379.59,5040933.9,1,639374.79,5040834.02,1,0,0,4,1,0,0,0,0,0,0,0
A22,639374.79,5040834.02,1,639370.0,5040734.13,1,0,0,4,1,0,0,0,0,0,0,0
A22,639370.0,5040734.13,1,639366.4,5040634.2,1,0,0,4,1,0,0,0,0,0,0,0
A22,639366.4,5040634.2,1,639365.42,5040534.23,1,0,0,4,1,0,0,0,0,0,0,0
A22,639365.42,5040534.23,1,639370.85,5040434.39,1,0,0,4,1,0,0,0,0,0,0,0
A22,639370.85,5040434.39,1,639382.09,5040335.04,1,0,0,4,1,0,0,0,0,0,0,0
A22,639382.09,5040335.04,1,639399.13,5040236.52,1,0,0,4,1,0,0,0,0,0,0,0
A22,639399.13,5040236.52,1,639421.91,5040139.17,1,0,0,4,1,0,0,0,0,0,0,0
A22,639421.91,5040139.17,1,639450.47,5040043.35,1,0,0,4,1,0,0,0,0,0,0,0
