Source,input,file,,,,,,,,,,,,,,,
,X_b,Y_b,Z_b,X_e,Y_e,Z_e,dCL,sigmaz0,#lanes,Emis,Hw1,dw1,Hw2,dw2,Depth,Wtop,Wbottom
A22,677764.62,5149313.22,1,677719.72,5149223.87,1,0,0,4,1,0,0,0,0,0,0,0
A22,677719.72,5149223.87,1,677672.27,5149135.85,1,0,0,4,1,0,0,0,0,0,0,0
A22,677672.27,5149135.85,1,677621.74,5149049.57,1,0,0,4,1,0,0,0,0,0,0,0
A22,677621.74,5149049.57,1,677568.77,5148964.77,1,0,0,4,1,0,0,0,0,0,0,0
A22,677568.77,5148964.77,1,677512.47,5148882.13,1,0,0,4,1,0,0,0,0,0,0,0
A22,677512.47,5148882.13,1,677453.73,5148801.21,1,0,0,4,1,0,0,0,0,0,0,0
A22,677453.73,5148801.21,1,677392.61,5148722.06,1,0,0,4,1,0,0,0,0,0,0,0
A22,677392.61,5148722.06,1,677328.85,5148645.03,1,0,0,4,1,0,0,0,0,0,0,0
A22,677328.85,5148645.03,1,677264.74,5148568.28,1,0,0,4,1,0,0,0,0,0,0,0
A22,677264.74,5148568.28,1,677200.99,5148491.24,1,0,0,4,1,0,0,0,0,0,0,0
A22,677200.99,5148491.24,1,677139.93,5148412.07,1,0,0,4,1,0,0,0,0,0,0,0
A22,677139.93,5148412.07,1,677083.98,5148329.22,1,0,0,4,1,0,0,0,0,0,0,0
A22,677083.98,5148329.22,1,677034.69,5148242.27,1,0,0,4,1,0,0,0,0,0,0,0
A22,677034.69,5148242.27,1,676993.13,5148151.35,1,0,0,4,1,0,0,0,0,0,0,0
A22,676993.13,5148151.35,1,676959.01,5148057.39,1,0,0,4,1,0,0,0,0,0,0,0
A22,676959.01,5148057.39,1,676932.98,5147960.88,1,0,0,4,1,0,0,0,0,0,0,0
A22,676932.98,5147960.88,1,676914.88,5147862.55,1,0,0,4,1,0,0,0,0,0,0,0
