Source,input,file,,,,,,,,,,,,,,,
,X_b,Y_b,Z_b,X_e,Y_e,Z_e,dCL,sigmaz0,#lanes,Emis,Hw1,dw1,Hw2,dw2,Depth,Wtop,Wbottom
A22,647254.88,5015265.7,1,647208.6,5015177.06,1,0,0,4,1,0,0,0,0,0,0,0
A22,647208.6,5015177.06,1,647162.33,5015088.4,1,0,0,4,1,0,0,0,0,0,0,0
A22,647162.33,5015088.4,1,647116.34,5014999.61,1,0,0,4,1,0,0,0,0,0,0,0
A22,647116.34,5014999.61,1,647071.79,5014910.09,1,0,0,4,1,0,0,0,0,0,0,0
A22,647071.79,5014910.09,1,647030.43,5014819.06,1,0,0,4,1,0,0,0,0,0,0,0
A22,647030.43,5014819.06,1,646993.1,5014726.3,1,0,0,4,1,0,0,0,0,0,0,0
A22,646993.1,5014726.3,1,646959.27,5014632.2,1,0,0,4,1,0,0,0,0,0,0,0
A22,646959.27,5014632.2,1,646929.34,5014536.8,1,0,0,4,1,0,0,0,0,0,0,0
A22,646929.34,5014536.8,1,646903.15,5014440.29,1,0,0,4,1,0,0,0,0,0,0,0
A22,646903.15,5014440.29,1,646881.15,5014342.75,1,0,0,4,1,0,0,0,0,0,0,0
A22,646881.15,5014342.75,1,646860.84,5014244.84,1,0,0,4,1,0,0,0,0,0,0,0
A22,646860.84,5014244.84,1,646841.15,5014146.8,1,0,0,4,1,0,0,0,0,0,0,0
A22,646841.15,5014146.8,1,646821.46,5014048.75,1,0,0,4,1,0,0,0,0,0,0,0
A22,646821.46,5014048.75,1,646801.76,5013950.71,1,0,0,4,1,0,0,0,0,0,0,0
A22,646801.76,5013950.71,1,646782.07,5013852.67,1,0,0,4,1,0,0,0,0,0,0,0
A22,646782.07,5013852.67,1,646762.38,5013754.63,1,0,0,4,1,0,0,0,0,0,0,0
A22,646762.38,5013754.63,1,646742.7,5013656.58,1,0,0,4,1,0,0,0,0,0,0,0
A22,646742.7,5013656.58,1,646723.04,5013558.54,1,0,0,4,1,0,0,0,0,0,0,0
A22,646723.04,5013558.54,1,646703.37,5013460.49,1,0,0,4,1,0,0,0,0,0,0,0
A22,646703.37,5013460.49,1,646683.7,5013362.44,1,0,0,4,1,0,0,0,0,0,0,0
A22,646683.7,5013362.44,1,646664.03,5013264.4,1,0,0,4,1,0,0,0,0,0,0,0
A22,646664.03,5013264.4,1,646644.36,5013166.35,1,0,0,4,1,0,0,0,0,0,0,0
A22,646644.36,5013166.35,1,646624.69,5013068.3,1,0,0,4,1,0,0,0,0,0,0,0
A22,646624.69,5013068.3,1,646604.84,5012970.29,1,0,0,4,1,0,0,0,0,0,0,0
A22,646604.84,5012970.29,1,646585.17,5012872.25,1,0,0,4,1,0,0,0,0,0,0,0
A22,646585.17,5012872.25,1,646565.5,5012774.2,1,0,0,4,1,0,0,0,0,0,0,0
