Source,input,file,,,,,,,,,,,,,,,
,X_b,Y_b,Z_b,X_e,Y_e,Z_e,dCL,sigmaz0,#lanes,Emis,Hw1,dw1,Hw2,dw2,Depth,Wtop,Wbottom
A22,661160.95,5109581.18,1,661189.88,5109485.48,1,0,0,4,1,0,0,0,0,0,0,0
A22,661189.88,5109485.48,1,661213.18,5109388.25,1,0,0,4,1,0,0,0,0,0,0,0
A22,661213.18,5109388.25,1,661230.4,5109289.77,1,0,0,4,1,0,0,0,0,0,0,0
A22,661230.4,5109289.77,1,661242.88,5109190.56,1,0,0,4,1,0,0,0,0,0,0,0
A22,661242.88,5109190.56,1,661253.46,5109091.12,1,0,0,4,1,0,0,0,0,0,0,0
A22,661253.46,5109091.12,1,661263.55,5108991.63,1,0,0,4,1,0,0,0,0,0,0,0
A22,661263.55,5108991.63,1,661274.23,5108892.2,1,0,0,4,1,0,0,0,0,0,0,0
A22,661274.23,5108892.2,1,661286.53,5108792.97,1,0,0,4,1,0,0,0,0,0,0,0
A22,661286.53,5108792.97,1,661304.48,5108694.61,1,0,0,4,1,0,0,0,0,0,0,0
A22,661304.48,5108694.61,1,661325.82,5108596.92,1,0,0,4,1,0,0,0,0,0,0,0
A22,661325.82,5108596.92,1,661348.13,5108499.44,1,0,0,4,1,0,0,0,0,0,0,0
A22,661348.13,5108499.44,1,661370.45,5108401.97,1,0,0,4,1,0,0,0,0,0,0,0
A22,661370.45,5108401.97,1,661392.77,5108304.49,1,0,0,4,1,0,0,0,0,0,0,0
A22,661392.77,5108304.49,1,661415.09,5108207.01,1,0,0,4,1,0,0,0,0,0,0,0
A22,661415.09,5108207.01,1,661437.41,5108109.53,1,0,0,4,1,0,0,0,0,0,0,0
A22,661437.41,5108109.53,1,661459.73,5108012.06,1,0,0,4,1,0,0,0,0,0,0,0
A22,661459.73,5108012.06,1,661482.05,5107914.58,1,0,0,4,1,0,0,0,0,0,0,0
A22,661482.05,5107914.58,1,661506.16,5107817.53,1,0,0,4,1,0,0,0,0,0,0,0
A22,661506.16,5107817.53,1,661533.73,5107721.43,1,0,0,4,1,0,0,0,0,0,0,0
A22,661533.73,5107721.43,1,661566.65,5107627.02,1,0,0,4,1,0,0,0,0,0,0,0
A22,661566.65,5107627.02,1,661605.16,5107534.75,1,0,0,4,1,0,0,0,0,0,0,0
A22,661605.16,5107534.75,1,661648.47,5107444.64,1,0,0,4,1,0,0,0,0,0,0,0
A22,661648.47,5107444.64,1,661696.44,5107356.91,1,0,0,4,1,0,0,0,0,0,0,0
A22,661696.44,5107356.91,1,661749.96,5107272.47,1,0,0,4,1,0,0,0,0,0,0,0
A22,661749.96,5107272.47,1,661806.68,5107190.12,1,0,0,4,1,0,0,0,0,0,0,0
A22,661806.68,5107190.12,1,661863.68,5107107.95,1,0,0,4,1,0,0,0,0,0,0,0
A22,661863.68,5107107.95,1,661920.68,5107025.79,1,0,0,4,1,0,0,0,0,0,0,0
A22,661920.68,5107025.79,1,661977.69,5106943.62,1,0,0,4,1,0,0,0,0,0,0,0
A22,661977.69,5106943.62,1,662034.68,5106861.46,1,0,0,4,1,0,0,0,0,0,0,0
A22,662034.68,5106861.46,1,662091.68,5106779.29,1,0,0,4,1,0,0,0,0,0,0,0
A22,662091.68,5106779.29,1,662148.67,5106697.12,1,0,0,4,1,0,0,0,0,0,0,0
A22,662148.67,5106697.12,1,662205.67,5106614.95,1,0,0,4,1,0,0,0,0,0,0,0
A22,662205.67,5106614.95,1,662262.67,5106532.79,1,0,0,4,1,0,0,0,0,0,0,0
A22,662262.67,5106532.79,1,662319.66,5106450.62,1,0,0,4,1,0,0,0,0,0,0,0
A22,662319.66,5106450.62,1,662376.66,5106368.45,1,0,0,4,1,0,0,0,0,0,0,0
A22,662376.66,5106368.45,1,662433.65,5106286.29,1,0,0,4,1,0,0,0,0,0,0,0
A22,662433.65,5106286.29,1,662490.65,5106204.12,1,0,0,4,1,0,0,0,0,0,0,0
A22,662490.65,5106204.12,1,662547.77,5106122.04,1,0,0,4,1,0,0,0,0,0,0,0
A22,662547.77,5106122.04,1,662602.28,5106038.24,1,0,0,4,1,0,0,0,0,0,0,0
A22,662602.28,5106038.24,1,662649.89,5105950.36,1,0,0,4,1,0,0,0,0,0,0,0
A22,662649.89,5105950.36,1,662688.13,5105858.01,1,0,0,4,1,0,0,0,0,0,0,0
A22,662688.13,5105858.01,1,662716.5,5105762.17,1,0,0,4,1,0,0,0,0,0,0,0
A22,662716.5,5105762.17,1,662734.91,5105663.92,1,0,0,4,1,0,0,0,0,0,0,0
A22,662734.91,5105663.92,1,662744.85,5105564.43,1,0,0,4,1,0,0,0,0,0,0,0
A22,662744.85,5105564.43,1,662751.59,5105464.66,1,0,0,4,1,0,0,0,0,0,0,0
A22,662751.59,5105464.66,1,662758.7,5105364.91,1,0,0,4,1,0,0,0,0,0,0,0
