Source,input,file,,,,,,,,,,,,,,,
,X_b,Y_b,Z_b,X_e,Y_e,Z_e,dCL,sigmaz0,#lanes,Emis,Hw1,dw1,Hw2,dw2,Depth,Wtop,Wbottom
A22,685505.13,5195250.53,1,685599.04,5195216.17,1,0,0,4,1,0,0,0,0,0,0,0
A22,685599.04,5195216.17,1,685692.96,5195181.83,1,0,0,4,1,0,0,0,0,0,0,0
A22,685692.96,5195181.83,1,685786.9,5195147.53,1,0,0,4,1,0,0,0,0,0,0,0
A22,685786.9,5195147.53,1,685879.43,5195109.73,1,0,0,4,1,0,0,0,0,0,0,0
A22,685879.43,5195109.73,1,685964.34,5195057.09,1,0,0,4,1,0,0,0,0,0,0,0
A22,685964.34,5195057.09,1,686050.03,5195005.64,1,0,0,4,1,0,0,0,0,0,0,0
A22,686050.03,5195005.64,1,686142.38,5194967.63,1,0,0,4,1,0,0,0,0,0,0,0
A22,686142.38,5194967.63,1,686237.71,5194937.42,1,0,0,4,1,0,0,0,0,0,0,0
A22,686237.71,5194937.42,1,686329.74,5194898.58,1,0,0,4,1,0,0,0,0,0,0,0
A22,686329.74,5194898.58,1,686420.19,5194855.93,1,0,0,4,1,0,0,0,0,0,0,0
A22,686420.19,5194855.93,1,686510.63,5194813.27,1,0,0,4,1,0,0,0,0,0,0,0
A22,686510.63,5194813.27,1,686601.08,5194770.61,1,0,0,4,1,0,0,0,0,0,0,0
A22,686601.08,5194770.61,1,686691.52,5194727.95,1,0,0,4,1,0,0,0,0,0,0,0
A22,686691.52,5194727.95,1,686781.97,5194685.3,1,0,0,4,1,0,0,0,0,0,0,0
A22,686781.97,5194685.3,1,686872.41,5194642.64,1,0,0,4,1,0,0,0,0,0,0,0
A22,686872.41,5194642.64,1,686962.86,5194599.98,1,0,0,4,1,0,0,0,0,0,0,0
A22,686962.86,5194599.98,1,687053.31,5194557.32,1,0,0,4,1,0,0,0,0,0,0,0
A22,687053.31,5194557.32,1,687143.75,5194514.67,1,0,0,4,1,0,0,0,0,0,0,0
A22,687143.75,5194514.67,1,687234.2,5194472.01,1,0,0,4,1,0,0,0,0,0,0,0
A22,687234.2,5194472.01,1,687324.64,5194429.35,1,0,0,4,1,0,0,0,0,0,0,0
A22,687324.64,5194429.35,1,687415.09,5194386.7,1,0,0,4,1,0,0,0,0,0,0,0
A22,687415.09,5194386.7,1,687505.53,5194344.04,1,0,0,4,1,0,0,0,0,0,0,0
A22,687505.53,5194344.04,1,687595.98,5194301.38,1,0,0,4,1,0,0,0,0,0,0,0
A22,687595.98,5194301.38,1,687686.42,5194258.72,1,0,0,4,1,0,0,0,0,0,0,0
A22,687686.42,5194258.72,1,687776.87,5194216.07,1,0,0,4,1,0,0,0,0,0,0,0
A22,687776.87,5194216.07,1,687867.31,5194173.41,1,0,0,4,1,0,0,0,0,0,0,0
A22,687867.31,5194173.41,1,687957.76,5194130.75,1,0,0,4,1,0,0,0,0,0,0,0
A22,687957.76,5194130.75,1,688048.2,5194088.09,1,0,0,4,1,0,0,0,0,0,0,0
A22,688048.2,5194088.09,1,688138.65,5194045.44,1,0,0,4,1,0,0,0,0,0,0,0
A22,688138.65,5194045.44,1,688229.09,5194002.78,1,0,0,4,1,0,0,0,0,0,0,0
A22,688229.09,5194002.78,1,688319.54,5193960.12,1,0,0,4,1,0,0,0,0,0,0,0
A22,688319.54,5193960.12,1,688409.98,5193917.46,1,0,0,4,1,0,0,0,0,0,0,0
A22,688409.98,5193917.46,1,688500.43,5193874.8,1,0,0,4,1,0,0,0,0,0,0,0
A22,688500.43,5193874.8,1,688590.77,5193831.93,1,0,0,4,1,0,0,0,0,0,0,0
A22,688590.77,5193831.93,1,688681.12,5193789.06,1,0,0,4,1,0,0,0,0,0,0,0
A22,688681.12,5193789.06,1,688771.92,5193747.18,1,0,0,4,1,0,0,0,0,0,0,0
A22,688771.92,5193747.18,1,688863.82,5193707.81,1,0,0,4,1,0,0,0,0,0,0,0
A22,688863.82,5193707.81,1,688957.23,5193672.09,1,0,0,4,1,0,0,0,0,0,0,0
A22,688957.23,5193672.09,1,689050.63,5193636.38,1,0,0,4,1,0,0,0,0,0,0,0
A22,689050.63,5193636.38,1,689144.01,5193600.59,1,0,0,4,1,0,0,0,0,0,0,0
A22,689144.01,5193600.59,1,689237.15,5193564.21,1,0,0,4,1,0,0,0,0,0,0,0
A22,689237.15,5193564.21,1,689330.33,5193527.9,1,0,0,4,1,0,0,0,0,0,0,0
A22,689330.33,5193527.9,1,689423.51,5193491.59,1,0,0,4,1,0,0,0,0,0,0,0
A22,689423.51,5193491.59,1,689517.02,5193456.21,1,0,0,4,1,0,0,0,0,0,0,0
A22,689517.02,5193456.21,1,689610.24,5193420.01,1,0,0,4,1,0,0,0,0,0,0,0
A22,689610.24,5193420.01,1,689703.46,5193383.82,1,0,0,4,1,0,0,0,0,0,0,0
A22,689703.46,5193383.82,1,689796.63,5193347.58,1,0,0,4,1,0,0,0,0,0,0,0
A22,689796.63,5193347.58,1,689886.11,5193303.17,1,0,0,4,1,0,0,0,0,0,0,0
A22,689886.11,5193303.17,1,689970.42,5193249.48,1,0,0,4,1,0,0,0,0,0,0,0
A22,689970.42,5193249.48,1,690054.1,5193194.73,1,0,0,4,1,0,0,0,0,0,0,0
A22,690054.1,5193194.73,1,690137.78,5193139.97,1,0,0,4,1,0,0,0,0,0,0,0
A22,690137.78,5193139.97,1,690221.46,5193085.22,1,0,0,4,1,0,0,0,0,0,0,0
A22,690221.46,5193085.22,1,690305.14,5193030.47,1,0,0,4,1,0,0,0,0,0,0,0
A22,690305.14,5193030.47,1,690388.38,5192975.08,1,0,0,4,1,0,0,0,0,0,0,0
A22,690388.38,5192975.08,1,690473.61,5192922.86,1,0,0,4,1,0,0,0,0,0,0,0
A22,690473.61,5192922.86,1,690565.67,5192884.11,1,0,0,4,1,0,0,0,0,0,0,0
A22,690565.67,5192884.11,1,690662.54,5192859.64,1,0,0,4,1,0,0,0,0,0,0,0
A22,690662.54,5192859.64,1,690760.71,5192840.71,1,0,0,4,1,0,0,0,0,0,0,0
A22,690760.71,5192840.71,1,690855.64,5192809.76,1,0,0,4,1,0,0,0,0,0,0,0
A22,690855.64,5192809.76,1,690943.84,5192762.97,1,0,0,4,1,0,0,0,0,0,0,0
A22,690943.84,5192762.97,1,691023.38,5192702.58,1,0,0,4,1,0,0,0,0,0,0,0
A22,691023.38,5192702.58,1,691091.14,5192629.21,1,0,0,4,1,0,0,0,0,0,0,0
