Source,input,file,,,,,,,,,,,,,,,
,X_b,Y_b,Z_b,X_e,Y_e,Z_e,dCL,sigmaz0,#lanes,Emis,Hw1,dw1,Hw2,dw2,Depth,Wtop,Wbottom
A22,664506.22,5118484.51,1,664437.24,5118412.11,1,0,0,4,1,0,0,0,0,0,0,0
A22,664437.24,5118412.11,1,664368.25,5118339.71,1,0,0,4,1,0,0,0,0,0,0,0
A22,664368.25,5118339.71,1,664299.27,5118267.31,1,0,0,4,1,0,0,0,0,0,0,0
A22,664299.27,5118267.31,1,664230.29,5118194.91,1,0,0,4,1,0,0,0,0,0,0,0
A22,664230.29,5118194.91,1,664161.31,5118122.51,1,0,0,4,1,0,0,0,0,0,0,0
A22,664161.31,5118122.51,1,664092.53,5118049.92,1,0,0,4,1,0,0,0,0,0,0,0
A22,664092.53,5118049.92,1,664025.03,5117976.15,1,0,0,4,1,0,0,0,0,0,0,0
A22,664025.03,5117976.15,1,663961.42,5117899.02,1,0,0,4,1,0,0,0,0,0,0,0
A22,663961.42,5117899.02,1,663899.13,5117820.79,1,0,0,4,1,0,0,0,0,0,0,0
A22,663899.13,5117820.79,1,663836.82,5117742.58,1,0,0,4,1,0,0,0,0,0,0,0
A22,663836.82,5117742.58,1,663774.52,5117664.36,1,0,0,4,1,0,0,0,0,0,0,0
A22,663774.52,5117664.36,1,663712.21,5117586.14,1,0,0,4,1,0,0,0,0,0,0,0
A22,663712.21,5117586.14,1,663649.9,5117507.92,1,0,0,4,1,0,0,0,0,0,0,0
A22,663649.9,5117507.92,1,663587.6,5117429.71,1,0,0,4,1,0,0,0,0,0,0,0
A22,663587.6,5117429.71,1,663525.79,5117351.1,1,0,0,4,1,0,0,0,0,0,0,0
A22,663525.79,5117351.1,1,663466.28,5117270.74,1,0,0,4,1,0,0,0,0,0,0,0
A22,663466.28,5117270.74,1,663410.27,5117187.95,1,0,0,4,1,0,0,0,0,0,0,0
A22,663410.27,5117187.95,1,663360.41,5117101.3,1,0,0,4,1,0,0,0,0,0,0,0
A22,663360.41,5117101.3,1,663317.05,5117011.21,1,0,0,4,1,0,0,0,0,0,0,0
A22,663317.05,5117011.21,1,663278.37,5116919.0,1,0,0,4,1,0,0,0,0,0,0,0
A22,663278.37,5116919.0,1,663240.51,5116826.44,1,0,0,4,1,0,0,0,0,0,0,0
A22,663240.51,5116826.44,1,663202.64,5116733.89,1,0,0,4,1,0,0,0,0,0,0,0
A22,663202.64,5116733.89,1,663164.78,5116641.34,1,0,0,4,1,0,0,0,0,0,0,0
A22,663164.78,5116641.34,1,663126.91,5116548.78,1,0,0,4,1,0,0,0,0,0,0,0
A22,663126.91,5116548.78,1,663089.04,5116456.23,1,0,0,4,1,0,0,0,0,0,0,0
A22,663089.04,5116456.23,1,663051.17,5116363.68,1,0,0,4,1,0,0,0,0,0,0,0
A22,663051.17,5116363.68,1,663013.31,5116271.13,1,0,0,4,1,0,0,0,0,0,0,0
A22,663013.31,5116271.13,1,662975.44,5116178.57,1,0,0,4,1,0,0,0,0,0,0,0
A22,662975.44,5116178.57,1,662936.77,5116086.36,1,0,0,4,1,0,0,0,0,0,0,0
A22,662936.77,5116086.36,1,662896.19,5115994.96,1,0,0,4,1,0,0,0,0,0,0,0
A22,662896.19,5115994.96,1,662855.54,5115903.6,1,0,0,4,1,0,0,0,0,0,0,0
