Source,input,file,,,,,,,,,,,,,,,
,X_b,Y_b,Z_b,X_e,Y_e,Z_e,dCL,sigmaz0,#lanes,Emis,Hw1,dw1,Hw2,dw2,Depth,Wtop,Wbottom
A22,655304.95,5078674.66,1,655337.8,5078580.24,1,0,0,4,1,0,0,0,0,0,0,0
A22,655337.8,5078580.24,1,655377.42,5078488.43,1,0,0,4,1,0,0,0,0,0,0,0
A22,655377.42,5078488.43,1,655418.41,5078397.22,1,0,0,4,1,0,0,0,0,0,0,0
A22,655418.41,5078397.22,1,655456.1,5078304.61,1,0,0,4,1,0,0,0,0,0,0,0
A22,655456.1,5078304.61,1,655486.67,5078209.47,1,0,0,4,1,0,0,0,0,0,0,0
A22,655486.67,5078209.47,1,655507.16,5078111.63,1,0,0,4,1,0,0,0,0,0,0,0
A22,655507.16,5078111.63,1,655517.96,5078012.25,1,0,0,4,1,0,0,0,0,0,0,0
A22,655517.96,5078012.25,1,655523.71,5077912.42,1,0,0,4,1,0,0,0,0,0,0,0
A22,655523.71,5077912.42,1,655529.07,5077812.56,1,0,0,4,1,0,0,0,0,0,0,0
A22,655529.07,5077812.56,1,655534.43,5077712.71,1,0,0,4,1,0,0,0,0,0,0,0
A22,655534.43,5077712.71,1,655539.79,5077612.85,1,0,0,4,1,0,0,0,0,0,0,0
A22,655539.79,5077612.85,1,655545.15,5077513.0,1,0,0,4,1,0,0,0,0,0,0,0
A22,655545.15,5077513.0,1,655550.5,5077413.14,1,0,0,4,1,0,0,0,0,0,0,0
A22,655550.5,5077413.14,1,655555.86,5077313.28,1,0,0,4,1,0,0,0,0,0,0,0
A22,655555.86,5077313.28,1,655561.22,5077213.43,1,0,0,4,1,0,0,0,0,0,0,0
A22,655561.22,5077213.43,1,655566.83,5077113.59,1,0,0,4,1,0,0,0,0,0,0,0
A22,655566.83,5077113.59,1,655576.9,5077014.12,1,0,0,4,1,0,0,0,0,0,0,0
A22,655576.9,5077014.12,1,655596.21,5076916.02,1,0,0,4,1,0,0,0,0,0,0,0
A22,655596.21,5076916.02,1,655619.67,5076818.83,1,0,0,4,1,0,0,0,0,0,0,0
A22,655619.67,5076818.83,1,655638.99,5076720.72,1,0,0,4,1,0,0,0,0,0,0,0
A22,655638.99,5076720.72,1,655650.17,5076621.4,1,0,0,4,1,0,0,0,0,0,0,0
A22,655650.17,5076621.4,1,655656.0,5076521.58,1,0,0,4,1,0,0,0,0,0,0,0
A22,655656.0,5076521.58,1,655661.92,5076421.75,1,0,0,4,1,0,0,0,0,0,0,0
A22,655661.92,5076421.75,1,655668.44,5076321.97,1,0,0,4,1,0,0,0,0,0,0,0
A22,655668.44,5076321.97,1,655678.62,5076222.5,1,0,0,4,1,0,0,0,0,0,0,0
A22,655678.62,5076222.5,1,655697.61,5076124.36,1,0,0,4,1,0,0,0,0,0,0,0
A22,655697.61,5076124.36,1,655725.98,5076028.51,1,0,0,4,1,0,0,0,0,0,0,0
A22,655725.98,5076028.51,1,655763.98,5075936.07,1,0,0,4,1,0,0,0,0,0,0,0
A22,655763.98,5075936.07,1,655810.86,5075847.8,1,0,0,4,1,0,0,0,0,0,0,0
A22,655810.86,5075847.8,1,655864.56,5075763.45,1,0,0,4,1,0,0,0,0,0,0,0
A22,655864.56,5075763.45,1,655920.32,5075680.44,1,0,0,4,1,0,0,0,0,0,0,0
A22,655920.32,5075680.44,1,655976.58,5075597.77,1,0,0,4,1,0,0,0,0,0,0,0
A22,655976.58,5075597.77,1,656032.05,5075514.57,1,0,0,4,1,0,0,0,0,0,0,0
A22,656032.05,5075514.57,1,656084.34,5075429.37,1,0,0,4,1,0,0,0,0,0,0,0
A22,656084.34,5075429.37,1,656128.6,5075339.76,1,0,0,4,1,0,0,0,0,0,0,0
A22,656128.6,5075339.76,1,656167.29,5075247.57,1,0,0,4,1,0,0,0,0,0,0,0
A22,656167.29,5075247.57,1,656204.85,5075154.89,1,0,0,4,1,0,0,0,0,0,0,0
A22,656204.85,5075154.89,1,656243.71,5075062.77,1,0,0,4,1,0,0,0,0,0,0,0
A22,656243.71,5075062.77,1,656289.44,5074973.87,1,0,0,4,1,0,0,0,0,0,0,0
A22,656289.44,5074973.87,1,656340.83,5074888.11,1,0,0,4,1,0,0,0,0,0,0,0
A22,656340.83,5074888.11,1,656399.35,5074807.06,1,0,0,4,1,0,0,0,0,0,0,0
A22,656399.35,5074807.06,1,656460.81,5074728.18,1,0,0,4,1,0,0,0,0,0,0,0
A22,656460.81,5074728.18,1,656521.15,5074648.45,1,0,0,4,1,0,0,0,0,0,0,0
A22,656521.15,5074648.45,1,656577.13,5074565.67,1,0,0,4,1,0,0,0,0,0,0,0
A22,656577.13,5074565.67,1,656625.22,5074478.05,1,0,0,4,1,0,0,0,0,0,0,0
A22,656625.22,5074478.05,1,656668.06,5074387.7,1,0,0,4,1,0,0,0,0,0,0,0
A22,656668.06,5074387.7,1,656708.9,5074296.42,1,0,0,4,1,0,0,0,0,0,0,0
A22,656708.9,5074296.42,1,656749.71,5074205.13,1,0,0,4,1,0,0,0,0,0,0,0
A22,656749.71,5074205.13,1,656790.52,5074113.83,1,0,0,4,1,0,0,0,0,0,0,0
A22,656790.52,5074113.83,1,656831.33,5074022.54,1,0,0,4,1,0,0,0,0,0,0,0
A22,656831.33,5074022.54,1,656872.14,5073931.25,1,0,0,4,1,0,0,0,0,0,0,0
A22,656872.14,5073931.25,1,656912.95,5073839.95,1,0,0,4,1,0,0,0,0,0,0,0
A22,656912.95,5073839.95,1,656953.76,5073748.66,1,0,0,4,1,0,0,0,0,0,0,0
A22,656953.76,5073748.66,1,656992.89,5073656.64,1,0,0,4,1,0,0,0,0,0,0,0
A22,656992.89,5073656.64,1,657027.68,5073562.91,1,0,0,4,1,0,0,0,0,0,0,0
A22,657027.68,5073562.91,1,657053.38,5073466.32,1,0,0,4,1,0,0,0,0,0,0,0
A22,657053.38,5073466.32,1,657069.43,5073367.66,1,0,0,4,1,0,0,0,0,0,0,0
A22,657069.43,5073367.66,1,657075.43,5073267.89,1,0,0,4,1,0,0,0,0,0,0,0
A22,657075.43,5073267.89,1,657070.68,5073168.06,1,0,0,4,1,0,0,0,0,0,0,0
A22,657070.68,5073168.06,1,657059.76,5073068.66,1,0,0,4,1,0,0,0,0,0,0,0
A22,657059.76,5073068.66,1,657048.49,5072969.3,1,0,0,4,1,0,0,0,0,0,0,0
A22,657048.49,5072969.3,1,657037.22,5072869.94,1,0,0,4,1,0,0,0,0,0,0,0
A22,657037.22,5072869.94,1,657025.95,5072770.58,1,0,0,4,1,0,0,0,0,0,0,0
A22,657025.95,5072770.58,1,657014.47,5072671.24,1,0,0,4,1,0,0,0,0,0,0,0
A22,657014.47,5072671.24,1,656999.38,5072572.4,1,0,0,4,1,0,0,0,0,0,0,0
A22,656999.38,5072572.4,1,656976.57,5072475.09,1,0,0,4,1,0,0,0,0,0,0,0
A22,656976.57,5072475.09,1,656943.94,5072380.62,1,0,0,4,1,0,0,0,0,0,0,0
A22,656943.94,5072380.62,1,656901.41,5072290.18,1,0,0,4,1,0,0,0,0,0,0,0
A22,656901.41,5072290.18,1,656852.5,5072202.99,1,0,0,4,1,0,0,0,0,0,0,0
A22,656852.5,5072202.99,1,656801.22,5072117.14,1,0,0,4,1,0,0,0,0,0,0,0
A22,656801.22,5072117.14,1,656757.01,5072027.51,1,0,0,4,1,0,0,0,0,0,0,0
A22,656757.01,5072027.51,1,656722.6,5071933.66,1,0,0,4,1,0,0,0,0,0,0,0
A22,656722.6,5071933.66,1,656694.52,5071837.7,1,0,0,4,1,0,0,0,0,0,0,0
A22,656694.52,5071837.7,1,656668.03,5071741.27,1,0,0,4,1,0,0,0,0,0,0,0
A22,656668.03,5071741.27,1,656641.53,5071644.84,1,0,0,4,1,0,0,0,0,0,0,0
A22,656641.53,5071644.84,1,656615.04,5071548.42,1,0,0,4,1,0,0,0,0,0,0,0
A22,656615.04,5071548.42,1,656588.55,5071451.99,1,0,0,4,1,0,0,0,0,0,0,0
A22,656588.55,5071451.99,1,656562.06,5071355.56,1,0,0,4,1,0,0,0,0,0,0,0
A22,656562.06,5071355.56,1,656535.49,5071259.16,1,0,0,4,1,0,0,0,0,0,0,0
A22,656535.49,5071259.16,1,656508.51,5071162.87,1,0,0,4,1,0,0,0,0,0,0,0
A22,656508.51,5071162.87,1,656481.72,5071066.52,1,0,0,4,1,0,0,0,0,0,0,0
A22,656481.72,5071066.52,1,656454.93,5070970.18,1,0,0,4,1,0,0,0,0,0,0,0
A22,656454.93,5070970.18,1,656428.14,5070873.83,1,0,0,4,1,0,0,0,0,0,0,0
A22,656428.14,5070873.83,1,656399.57,5070778.01,1,0,0,4,1,0,0,0,0,0,0,0
A22,656399.57,5070778.01,1,656366.16,5070683.77,1,0,0,4,1,0,0,0,0,0,0,0
A22,656366.16,5070683.77,1,656324.98,5070592.7,1,0,0,4,1,0,0,0,0,0,0,0
A22,656324.98,5070592.7,1,656274.87,5070506.21,1,0,0,4,1,0,0,0,0,0,0,0
A22,656274.87,5070506.21,1,656216.44,5070425.14,1,0,0,4,1,0,0,0,0,0,0,0
A22,656216.44,5070425.14,1,656150.15,5070350.3,1,0,0,4,1,0,0,0,0,0,0,0
A22,656150.15,5070350.3,1,656076.22,5070283.02,1,0,0,4,1,0,0,0,0,0,0,0
