Source,input,file,,,,,,,,,,,,,,,
,X_b,Y_b,Z_b,X_e,Y_e,Z_e,dCL,sigmaz0,#lanes,Emis,Hw1,dw1,Hw2,dw2,Depth,Wtop,Wbottom
A22,664134.71,5099812.23,1,664161.31,5099715.83,1,0,0,4,1,0,0,0,0,0,0,0
A22,664161.31,5099715.83,1,664186.36,5099619.03,1,0,0,4,1,0,0,0,0,0,0,0
A22,664186.36,5099619.03,1,664206,5099521,1,0,0,4,1,0,0,0,0,0,0,0
A22,664206,5099521,1,664218.81,5099421.84,1,0,0,4,1,0,0,0,0,0,0,0
A22,664218.81,5099421.84,1,664224.98,5099322.05,1,0,0,4,1,0,0,0,0,0,0,0
A22,664224.98,5099322.05,1,664227.38,5099222.08,1,0,0,4,1,0,0,0,0,0,0,0
A22,664227.38,5099222.08,1,664229.49,5099122.1,1,0,0,4,1,0,0,0,0,0,0,0
A22,664229.49,5099122.1,1,664231.6,5099022.12,1,0,0,4,1,0,0,0,0,0,0,0
A22,664231.6,5099022.12,1,664233.72,5098922.14,1,0,0,4,1,0,0,0,0,0,0,0
A22,664233.72,5098922.14,1,664235.84,5098822.17,1,0,0,4,1,0,0,0,0,0,0,0
A22,664235.84,5098822.17,1,664237.96,5098722.19,1,0,0,4,1,0,0,0,0,0,0,0
A22,664237.96,5098722.19,1,664240.07,5098622.21,1,0,0,4,1,0,0,0,0,0,0,0
A22,664240.07,5098622.21,1,664242.19,5098522.23,1,0,0,4,1,0,0,0,0,0,0,0
A22,664242.19,5098522.23,1,664244.31,5098422.26,1,0,0,4,1,0,0,0,0,0,0,0
A22,664244.31,5098422.26,1,664246.42,5098322.28,1,0,0,4,1,0,0,0,0,0,0,0
A22,664246.42,5098322.28,1,664247.26,5098222.29,1,0,0,4,1,0,0,0,0,0,0,0
A22,664247.26,5098222.29,1,664244.9,5098122.32,1,0,0,4,1,0,0,0,0,0,0,0
A22,664244.9,5098122.32,1,664240.99,5098022.4,1,0,0,4,1,0,0,0,0,0,0,0
A22,664240.99,5098022.4,1,664237.08,5097922.47,1,0,0,4,1,0,0,0,0,0,0,0
A22,664237.08,5097922.47,1,664233.18,5097822.55,1,0,0,4,1,0,0,0,0,0,0,0
A22,664233.18,5097822.55,1,664229.27,5097722.63,1,0,0,4,1,0,0,0,0,0,0,0
A22,664229.27,5097722.63,1,664225.36,5097622.7,1,0,0,4,1,0,0,0,0,0,0,0
A22,664225.36,5097622.7,1,664222.23,5097522.75,1,0,0,4,1,0,0,0,0,0,0,0
A22,664222.23,5097522.75,1,664219.48,5097422.79,1,0,0,4,1,0,0,0,0,0,0,0
A22,664219.48,5097422.79,1,664218.41,5097322.8,1,0,0,4,1,0,0,0,0,0,0,0
A22,664218.41,5097322.8,1,664217.56,5097222.8,1,0,0,4,1,0,0,0,0,0,0,0
A22,664217.56,5097222.8,1,664217.37,5097122.8,1,0,0,4,1,0,0,0,0,0,0,0
A22,664217.37,5097122.8,1,664217.18,5097022.8,1,0,0,4,1,0,0,0,0,0,0,0
A22,664217.18,5097022.8,1,664216.99,5096922.8,1,0,0,4,1,0,0,0,0,0,0,0
A22,664216.99,5096922.8,1,664216.81,5096822.8,1,0,0,4,1,0,0,0,0,0,0,0
A22,664216.81,5096822.8,1,664216.62,5096722.8,1,0,0,4,1,0,0,0,0,0,0,0
A22,664216.62,5096722.8,1,664216.43,5096622.8,1,0,0,4,1,0,0,0,0,0,0,0
A22,664216.43,5096622.8,1,664216.24,5096522.8,1,0,0,4,1,0,0,0,0,0,0,0
A22,664216.24,5096522.8,1,664216.05,5096422.8,1,0,0,4,1,0,0,0,0,0,0,0
A22,664216.05,5096422.8,1,664215.61,5096322.81,1,0,0,4,1,0,0,0,0,0,0,0
A22,664215.61,5096322.81,1,664211.97,5096222.88,1,0,0,4,1,0,0,0,0,0,0,0
A22,664211.97,5096222.88,1,664204.74,5096123.15,1,0,0,4,1,0,0,0,0,0,0,0
A22,664204.74,5096123.15,1,664193.37,5096023.8,1,0,0,4,1,0,0,0,0,0,0,0
A22,664193.37,5096023.8,1,664178.12,5095924.98,1,0,0,4,1,0,0,0,0,0,0,0
A22,664178.12,5095924.98,1,664159.1,5095826.81,1,0,0,4,1,0,0,0,0,0,0,0
A22,664159.1,5095826.81,1,664135.87,5095729.56,1,0,0,4,1,0,0,0,0,0,0,0
A22,664135.87,5095729.56,1,664109.13,5095633.21,1,0,0,4,1,0,0,0,0,0,0,0
A22,664109.13,5095633.21,1,664078.29,5095538.1,1,0,0,4,1,0,0,0,0,0,0,0
A22,664078.29,5095538.1,1,664043.66,5095444.29,1,0,0,4,1,0,0,0,0,0,0,0
A22,664043.66,5095444.29,1,664005.57,5095351.85,1,0,0,4,1,0,0,0,0,0,0,0
A22,664005.57,5095351.85,1,663963.88,5095260.97,1,0,0,4,1,0,0,0,0,0,0,0
A22,663963.88,5095260.97,1,663918.4,5095171.91,1,0,0,4,1,0,0,0,0,0,0,0
A22,663918.4,5095171.91,1,663869.62,5095084.63,1,0,0,4,1,0,0,0,0,0,0,0
A22,663869.62,5095084.63,1,663817.14,5094999.51,1,0,0,4,1,0,0,0,0,0,0,0
A22,663817.14,5094999.51,1,663764.48,5094914.5,1,0,0,4,1,0,0,0,0,0,0,0
A22,663764.48,5094914.5,1,663711.92,5094829.43,1,0,0,4,1,0,0,0,0,0,0,0
A22,663711.92,5094829.43,1,663659.35,5094744.36,1,0,0,4,1,0,0,0,0,0,0,0
A22,663659.35,5094744.36,1,663606.79,5094659.29,1,0,0,4,1,0,0,0,0,0,0,0
A22,663606.79,5094659.29,1,663554.22,5094574.22,1,0,0,4,1,0,0,0,0,0,0,0
A22,663554.22,5094574.22,1,663502.05,5094488.91,1,0,0,4,1,0,0,0,0,0,0,0
A22,663502.05,5094488.91,1,663452.11,5094402.28,1,0,0,4,1,0,0,0,0,0,0,0
A22,663452.11,5094402.28,1,663409.94,5094311.69,1,0,0,4,1,0,0,0,0,0,0,0
A22,663409.94,5094311.69,1,663377.24,5094217.25,1,0,0,4,1,0,0,0,0,0,0,0
A22,663377.24,5094217.25,1,663354.12,5094120.01,1,0,0,4,1,0,0,0,0,0,0,0
A22,663354.12,5094120.01,1,663340.55,5094020.98,1,0,0,4,1,0,0,0,0,0,0,0
A22,663340.55,5094020.98,1,663332.75,5093921.29,1,0,0,4,1,0,0,0,0,0,0,0
A22,663332.75,5093921.29,1,663325.8,5093821.53,1,0,0,4,1,0,0,0,0,0,0,0
A22,663325.8,5093821.53,1,663318.7,5093721.78,1,0,0,4,1,0,0,0,0,0,0,0
A22,663318.7,5093721.78,1,663311.59,5093622.04,1,0,0,4,1,0,0,0,0,0,0,0
A22,663311.59,5093622.04,1,663304.49,5093522.29,1,0,0,4,1,0,0,0,0,0,0,0
A22,663304.49,5093522.29,1,663297.39,5093422.54,1,0,0,4,1,0,0,0,0,0,0,0
A22,663297.39,5093422.54,1,663290.28,5093322.79,1,0,0,4,1,0,0,0,0,0,0,0
A22,663290.28,5093322.79,1,663283.18,5093223.05,1,0,0,4,1,0,0,0,0,0,0,0
A22,663283.18,5093223.05,1,663276.07,5093123.3,1,0,0,4,1,0,0,0,0,0,0,0
A22,663276.07,5093123.3,1,663268.97,5093023.55,1,0,0,4,1,0,0,0,0,0,0,0
A22,663268.97,5093023.55,1,663261.87,5092923.81,1,0,0,4,1,0,0,0,0,0,0,0
A22,663261.87,5092923.81,1,663254.76,5092824.06,1,0,0,4,1,0,0,0,0,0,0,0
A22,663254.76,5092824.06,1,663247.66,5092724.31,1,0,0,4,1,0,0,0,0,0,0,0
A22,663247.66,5092724.31,1,663240.56,5092624.56,1,0,0,4,1,0,0,0,0,0,0,0
A22,663240.56,5092624.56,1,663233.45,5092524.82,1,0,0,4,1,0,0,0,0,0,0,0
A22,663233.45,5092524.82,1,663226.35,5092425.07,1,0,0,4,1,0,0,0,0,0,0,0
A22,663226.35,5092425.07,1,663219.25,5092325.32,1,0,0,4,1,0,0,0,0,0,0,0
A22,663219.25,5092325.32,1,663212.14,5092225.57,1,0,0,4,1,0,0,0,0,0,0,0
A22,663212.14,5092225.57,1,663205.04,5092125.83,1,0,0,4,1,0,0,0,0,0,0,0
A22,663205.04,5092125.83,1,663197.94,5092026.08,1,0,0,4,1,0,0,0,0,0,0,0
A22,663197.94,5092026.08,1,663190.83,5091926.33,1,0,0,4,1,0,0,0,0,0,0,0
A22,663190.83,5091926.33,1,663183.73,5091826.58,1,0,0,4,1,0,0,0,0,0,0,0
A22,663183.73,5091826.58,1,663175.77,5091726.91,1,0,0,4,1,0,0,0,0,0,0,0
A22,663175.77,5091726.91,1,663164.18,5091627.59,1,0,0,4,1,0,0,0,0,0,0,0
A22,663164.18,5091627.59,1,663150.12,5091528.59,1,0,0,4,1,0,0,0,0,0,0,0
A22,663150.12,5091528.59,1,663131.33,5091430.39,1,0,0,4,1,0,0,0,0,0,0,0
A22,663131.33,5091430.39,1,663108.46,5091333.05,1,0,0,4,1,0,0,0,0,0,0,0
A22,663108.46,5091333.05,1,663082.58,5091236.46,1,0,0,4,1,0,0,0,0,0,0,0
A22,663082.58,5091236.46,1,663054.31,5091140.54,1,0,0,4,1,0,0,0,0,0,0,0
A22,663054.31,5091140.54,1,663025.95,5091044.65,1,0,0,4,1,0,0,0,0,0,0,0
A22,663025.95,5091044.65,1,662997.59,5090948.75,1,0,0,4,1,0,0,0,0,0,0,0
A22,662997.59,5090948.75,1,662969.22,5090852.86,1,0,0,4,1,0,0,0,0,0,0,0
A22,662969.22,5090852.86,1,662940.86,5090756.97,1,0,0,4,1,0,0,0,0,0,0,0
A22,662940.86,5090756.97,1,662912.5,5090661.07,1,0,0,4,1,0,0,0,0,0,0,0
A22,662912.5,5090661.07,1,662884.17,5090565.17,1,0,0,4,1,0,0,0,0,0,0,0
A22,662884.17,5090565.17,1,662853.81,5090469.9,1,0,0,4,1,0,0,0,0,0,0,0
A22,662853.81,5090469.9,1,662818.79,5090376.25,1,0,0,4,1,0,0,0,0,0,0,0
A22,662818.79,5090376.25,1,662778.85,5090284.59,1,0,0,4,1,0,0,0,0,0,0,0
A22,662778.85,5090284.59,1,662734.04,5090195.2,1,0,0,4,1,0,0,0,0,0,0,0
A22,662734.04,5090195.2,1,662683.9,5090108.7,1,0,0,4,1,0,0,0,0,0,0,0
A22,662683.9,5090108.7,1,662629.56,5090024.76,1,0,0,4,1,0,0,0,0,0,0,0
A22,662629.56,5090024.76,1,662570.64,5089943.98,1,0,0,4,1,0,0,0,0,0,0,0
A22,662570.64,5089943.98,1,662510.75,5089863.91,1,0,0,4,1,0,0,0,0,0,0,0
A22,662510.75,5089863.91,1,662450.36,5089784.2,1,0,0,4,1,0,0,0,0,0,0,0
A22,662450.36,5089784.2,1,662389.97,5089704.49,1,0,0,4,1,0,0,0,0,0,0,0
A22,662389.97,5089704.49,1,662329.58,5089624.79,1,0,0,4,1,0,0,0,0,0,0,0
A22,662329.58,5089624.79,1,662269.19,5089545.08,1,0,0,4,1,0,0,0,0,0,0,0
A22,662269.19,5089545.08,1,662208.79,5089465.38,1,0,0,4,1,0,0,0,0,0,0,0
A22,662208.79,5089465.38,1,662148.4,5089385.67,1,0,0,4,1,0,0,0,0,0,0,0
A22,662148.4,5089385.67,1,662088.01,5089305.97,1,0,0,4,1,0,0,0,0,0,0,0
A22,662088.01,5089305.97,1,662029.25,5089225.06,1,0,0,4,1,0,0,0,0,0,0,0
A22,662029.25,5089225.06,1,661972.34,5089142.84,1,0,0,4,1,0,0,0,0,0,0,0
A22,661972.34,5089142.84,1,661915.56,5089060.52,1,0,0,4,1,0,0,0,0,0,0,0
A22,661915.56,5089060.52,1,661858.78,5088978.2,1,0,0,4,1,0,0,0,0,0,0,0
A22,661858.78,5088978.2,1,661802,5088895.89,1,0,0,4,1,0,0,0,0,0,0,0
A22,661802,5088895.89,1,661745.22,5088813.57,1,0,0,4,1,0,0,0,0,0,0,0
A22,661745.22,5088813.57,1,661688.44,5088731.25,1,0,0,4,1,0,0,0,0,0,0,0
A22,661688.44,5088731.25,1,661631.66,5088648.94,1,0,0,4,1,0,0,0,0,0,0,0
A22,661631.66,5088648.94,1,661574.88,5088566.62,1,0,0,4,1,0,0,0,0,0,0,0
A22,661574.88,5088566.62,1,661518.1,5088484.31,1,0,0,4,1,0,0,0,0,0,0,0
A22,661518.1,5088484.31,1,661461.37,5088401.96,1,0,0,4,1,0,0,0,0,0,0,0
A22,661461.37,5088401.96,1,661401.78,5088321.67,1,0,0,4,1,0,0,0,0,0,0,0
A22,661401.78,5088321.67,1,661335.51,5088246.9,1,0,0,4,1,0,0,0,0,0,0,0
A22,661335.51,5088246.9,1,661260.45,5088180.97,1,0,0,4,1,0,0,0,0,0,0,0
A22,661260.45,5088180.97,1,661178.33,5088124.08,1,0,0,4,1,0,0,0,0,0,0,0
A22,661178.33,5088124.08,1,661090.04,5088077.33,1,0,0,4,1,0,0,0,0,0,0,0
A22,661090.04,5088077.33,1,660996.59,5088041.98,1,0,0,4,1,0,0,0,0,0,0,0
A22,660996.59,5088041.98,1,660899.81,5088017.09,1,0,0,4,1,0,0,0,0,0,0,0
A22,660899.81,5088017.09,1,660800.53,5088005.82,1,0,0,4,1,0,0,0,0,0,0,0
A22,660800.53,5088005.82,1,660700.61,5088004.95,1,0,0,4,1,0,0,0,0,0,0,0
A22,660700.61,5088004.95,1,660601.3,5088016.32,1,0,0,4,1,0,0,0,0,0,0,0
A22,660601.3,5088016.32,1,660503.68,5088037.86,1,0,0,4,1,0,0,0,0,0,0,0
