Source,input,file,,,,,,,,,,,,,,,
,X_b,Y_b,Z_b,X_e,Y_e,Z_e,dCL,sigmaz0,#lanes,Emis,Hw1,dw1,Hw2,dw2,Depth,Wtop,Wbottom
A22,646411.36,4948613.98,1,646378.23,4948519.63,1,0,0,4,1,0,0,0,0,0,0,0
A22,646378.23,4948519.63,1,646345.1,4948425.28,1,0,0,4,1,0,0,0,0,0,0,0
A22,646345.1,4948425.28,1,646311.96,4948330.93,1,0,0,4,1,0,0,0,0,0,0,0
A22,646311.96,4948330.93,1,646278.83,4948236.58,1,0,0,4,1,0,0,0,0,0,0,0
A22,646278.83,4948236.58,1,646245.61,4948142.26,1,0,0,4,1,0,0,0,0,0,0,0
A22,646245.61,4948142.26,1,646208.73,4948049.32,1,0,0,4,1,0,0,0,0,0,0,0
A22,646208.73,4948049.32,1,646166.98,4947958.46,1,0,0,4,1,0,0,0,0,0,0,0
A22,646166.98,4947958.46,1,646125.16,4947867.62,1,0,0,4,1,0,0,0,0,0,0,0
A22,646125.16,4947867.62,1,646083.34,4947776.78,1,0,0,4,1,0,0,0,0,0,0,0
