Source,input,file,,,,,,,,,,,,,,,
,X_b,Y_b,Z_b,X_e,Y_e,Z_e,dCL,sigmaz0,#lanes,Emis,Hw1,dw1,Hw2,dw2,Depth,Wtop,Wbottom
A22,646003.11,5003226.62,1,646039.06,5003133.31,1,0,0,4,1,0,0,0,0,0,0,0
A22,646039.06,5003133.31,1,646074.8,5003039.92,1,0,0,4,1,0,0,0,0,0,0,0
A22,646074.8,5003039.92,1,646110.55,5002946.52,1,0,0,4,1,0,0,0,0,0,0,0
A22,646110.55,5002946.52,1,646146.29,5002853.13,1,0,0,4,1,0,0,0,0,0,0,0
A22,646146.29,5002853.13,1,646181.95,5002759.7,1,0,0,4,1,0,0,0,0,0,0,0
A22,646181.95,5002759.7,1,646217.28,5002666.15,1,0,0,4,1,0,0,0,0,0,0,0
A22,646217.28,5002666.15,1,646251.75,5002572.28,1,0,0,4,1,0,0,0,0,0,0,0
A22,646251.75,5002572.28,1,646285.16,5002478.03,1,0,0,4,1,0,0,0,0,0,0,0
A22,646285.16,5002478.03,1,646317.57,5002383.43,1,0,0,4,1,0,0,0,0,0,0,0
A22,646317.57,5002383.43,1,646349.56,5002288.68,1,0,0,4,1,0,0,0,0,0,0,0
A22,646349.56,5002288.68,1,646380.39,5002193.56,1,0,0,4,1,0,0,0,0,0,0,0
A22,646380.39,5002193.56,1,646411.18,5002098.41,1,0,0,4,1,0,0,0,0,0,0,0
A22,646411.18,5002098.41,1,646441.88,5002003.24,1,0,0,4,1,0,0,0,0,0,0,0
A22,646441.88,5002003.24,1,646472.56,5001908.07,1,0,0,4,1,0,0,0,0,0,0,0
A22,646472.56,5001908.07,1,646503.25,5001812.89,1,0,0,4,1,0,0,0,0,0,0,0
A22,646503.25,5001812.89,1,646533.93,5001717.72,1,0,0,4,1,0,0,0,0,0,0,0
A22,646533.93,5001717.72,1,646564.61,5001622.54,1,0,0,4,1,0,0,0,0,0,0,0
A22,646564.61,5001622.54,1,646595.3,5001527.36,1,0,0,4,1,0,0,0,0,0,0,0
A22,646595.3,5001527.36,1,646625.98,5001432.19,1,0,0,4,1,0,0,0,0,0,0,0
A22,646625.98,5001432.19,1,646656.66,5001337.01,1,0,0,4,1,0,0,0,0,0,0,0
A22,646656.66,5001337.01,1,646687.35,5001241.83,1,0,0,4,1,0,0,0,0,0,0,0
A22,646687.35,5001241.83,1,646718.03,5001146.66,1,0,0,4,1,0,0,0,0,0,0,0
A22,646718.03,5001146.66,1,646748.71,5001051.48,1,0,0,4,1,0,0,0,0,0,0,0
A22,646748.71,5001051.48,1,646779.39,5000956.3,1,0,0,4,1,0,0,0,0,0,0,0
A22,646779.39,5000956.3,1,646810.08,5000861.13,1,0,0,4,1,0,0,0,0,0,0,0
A22,646810.08,5000861.13,1,646840.76,5000765.95,1,0,0,4,1,0,0,0,0,0,0,0
A22,646840.76,5000765.95,1,646871.44,5000670.78,1,0,0,4,1,0,0,0,0,0,0,0
A22,646871.44,5000670.78,1,646902.13,5000575.6,1,0,0,4,1,0,0,0,0,0,0,0
A22,646902.13,5000575.6,1,646932.87,5000480.44,1,0,0,4,1,0,0,0,0,0,0,0
A22,646932.87,5000480.44,1,646963.63,5000385.29,1,0,0,4,1,0,0,0,0,0,0,0
A22,646963.63,5000385.29,1,646994.28,5000290.1,1,0,0,4,1,0,0,0,0,0,0,0
A22,646994.28,5000290.1,1,647023.25,5000194.4,1,0,0,4,1,0,0,0,0,0,0,0
A22,647023.25,5000194.4,1,647048.79,5000097.72,1,0,0,4,1,0,0,0,0,0,0,0
A22,647048.79,5000097.72,1,647071.42,5000000.32,1,0,0,4,1,0,0,0,0,0,0,0
A22,647071.42,5000000.32,1,647090.57,4999902.18,1,0,0,4,1,0,0,0,0,0,0,0
A22,647090.57,4999902.18,1,647106.59,4999803.48,1,0,0,4,1,0,0,0,0,0,0,0
A22,647106.59,4999803.48,1,647119.16,4999704.28,1,0,0,4,1,0,0,0,0,0,0,0
A22,647119.16,4999704.28,1,647128.42,4999604.72,1,0,0,4,1,0,0,0,0,0,0,0
A22,647128.42,4999604.72,1,647134.37,4999504.9,1,0,0,4,1,0,0,0,0,0,0,0
A22,647134.37,4999504.9,1,647137.1,4999404.94,1,0,0,4,1,0,0,0,0,0,0,0
A22,647137.1,4999404.94,1,647136.22,4999304.95,1,0,0,4,1,0,0,0,0,0,0,0
A22,647136.22,4999304.95,1,647132.16,4999205.04,1,0,0,4,1,0,0,0,0,0,0,0
A22,647132.16,4999205.04,1,647124.69,4999105.32,1,0,0,4,1,0,0,0,0,0,0,0
A22,647124.69,4999105.32,1,647113.89,4999005.91,1,0,0,4,1,0,0,0,0,0,0,0
A22,647113.89,4999005.91,1,647099.78,4998906.92,1,0,0,4,1,0,0,0,0,0,0,0
A22,647099.78,4998906.92,1,647082.38,4998808.45,1,0,0,4,1,0,0,0,0,0,0,0
A22,647082.38,4998808.45,1,647061.63,4998710.64,1,0,0,4,1,0,0,0,0,0,0,0
A22,647061.63,4998710.64,1,647037.72,4998613.55,1,0,0,4,1,0,0,0,0,0,0,0
A22,647037.72,4998613.55,1,647010.57,4998517.31,1,0,0,4,1,0,0,0,0,0,0,0
A22,647010.57,4998517.31,1,646982.78,4998421.25,1,0,0,4,1,0,0,0,0,0,0,0
A22,646982.78,4998421.25,1,646954.99,4998325.19,1,0,0,4,1,0,0,0,0,0,0,0
A22,646954.99,4998325.19,1,646927.19,4998229.13,1,0,0,4,1,0,0,0,0,0,0,0
A22,646927.19,4998229.13,1,646899.4,4998133.07,1,0,0,4,1,0,0,0,0,0,0,0
