Category,Fuel,ID_Euro,PercvsADT
LIGHT_VEHICLES,Diesel,0,0.000161643910536306
LIGHT_VEHICLES,Diesel,1,0.000367526903742297
LIGHT_VEHICLES,Diesel,2,0.00650172409133296
LIGHT_VEHICLES,Diesel,3,0.0397304907462512
LIGHT_VEHICLES,Diesel,4,0.132236950222354
LIGHT_VEHICLES,Diesel,5,0.237963926914685
LIGHT_VEHICLES,Diesel,6,0.40436181264844
LIGHT_VEHICLES,Electric,E,0.00219138246597581
LIGHT_VEHICLES,Other,0,2.81176488806292e-05
LIGHT_VEHICLES,Other,1,4.71596145077654e-05
LIGHT_VEHICLES,Other,2,0.000275760676395458
LIGHT_VEHICLES,Other,3,0.000487089276187
LIGHT_VEHICLES,Other,4,0.00719865425046988
LIGHT_VEHICLES,Other,5,0.00616714272512733
LIGHT_VEHICLES,Other,6,0.0170653020138323
LIGHT_VEHICLES,Petrol,0,0.000172806004497964
LIGHT_VEHICLES,Petrol,1,0.000275275657586754
LIGHT_VEHICLES,Petrol,2,0.00448127811970331
LIGHT_VEHICLES,Petrol,3,0.00738972185983499
LIGHT_VEHICLES,Petrol,4,0.0417652544120225
LIGHT_VEHICLES,Petrol,5,0.0317427435935831
LIGHT_VEHICLES,Petrol,6,0.059388236244053
HEAVY_VEHICLES,Diesel,0,0.00175717007804971
HEAVY_VEHICLES,Diesel,1,0.00370509957081817
HEAVY_VEHICLES,Diesel,2,0.015654268456152
HEAVY_VEHICLES,Diesel,3,0.0771126834158609
HEAVY_VEHICLES,Diesel,4,0.0359159203767047
HEAVY_VEHICLES,Diesel,5,0.197373970381524
HEAVY_VEHICLES,Diesel,6,0.514914991688751
BUSES,Diesel,0,0.00175717007804971
BUSES,Diesel,1,0.00370509957081817
BUSES,Diesel,2,0.015654268456152
BUSES,Diesel,3,0.0771126834158609
BUSES,Diesel,4,0.0359159203767047
BUSES,Diesel,5,0.197373970381524
BUSES,Diesel,6,0.514914991688751
