Category,Fuel,ID_Euro,PercvsADT
LIGHT_VEHICLES,Diesel,0,0.00181693127329854
LIGHT_VEHICLES,Diesel,1,0.00104812677143448
LIGHT_VEHICLES,Diesel,2,0.00586203316653961
LIGHT_VEHICLES,Diesel,3,0.0160732833894446
LIGHT_VEHICLES,Diesel,4,0.0718981750369061
LIGHT_VEHICLES,Diesel,5,0.119846833684366
LIGHT_VEHICLES,Diesel,6,0.507627373426235
LIGHT_VEHICLES,Petrol,0,0.000638064722541694
LIGHT_VEHICLES,Petrol,1,0.000368078158724045
LIGHT_VEHICLES,Petrol,2,0.00205861202396934
LIGHT_VEHICLES,Petrol,3,0.00564456964164701
LIGHT_VEHICLES,Petrol,4,0.0252489952594039
LIGHT_VEHICLES,Petrol,5,0.0420874679224867
LIGHT_VEHICLES,Petrol,6,0.178267127623247
LIGHT_VEHICLES,Electric,E,0.0215143278997567
BUSES,Diesel,0,0.00387612409821373
BUSES,Diesel,1,0.00611364776914146
BUSES,Diesel,2,0.00731218453176311
BUSES,Diesel,3,0.0195503194467412
BUSES,Diesel,4,0.005920437080195
BUSES,Diesel,5,0.0469570104989072
BUSES,Diesel,6,0.910266297882783
HEAVY_VEHICLES,Diesel,0,0.00387612409821373
HEAVY_VEHICLES,Diesel,1,0.00611364776914146
HEAVY_VEHICLES,Diesel,2,0.00731218453176311
HEAVY_VEHICLES,Diesel,3,0.0195503194467412
HEAVY_VEHICLES,Diesel,4,0.005920437080195
HEAVY_VEHICLES,Diesel,5,0.0469570104989072
HEAVY_VEHICLES,Diesel,6,0.910266297882783
