This file contains receptor locations
X_coordinate  Y_Coordinate  Z_Coordinate
----------------------------------------------
649425.000 5030100.000 1.500
649450.000 5030100.000 1.500
649400.000 5030075.000 1.500
649425.000 5030075.000 1.500
649450.000 5030075.000 1.500
649475.000 5030075.000 1.500
649500.000 5030075.000 1.500
649525.000 5030075.000 1.500
649550.000 5030075.000 1.500
649575.000 5030075.000 1.500
649600.000 5030075.000 1.500
649400.000 5030050.000 1.500
649425.000 5030050.000 1.500
649450.000 5030050.000 1.500
649475.000 5030050.000 1.500
649500.000 5030050.000 1.500
649525.000 5030050.000 1.500
649550.000 5030050.000 1.500
649575.000 5030050.000 1.500
649600.000 5030050.000 1.500
649625.000 5030050.000 1.500
649650.000 5030050.000 1.500
649675.000 5030050.000 1.500
649700.000 5030050.000 1.500
649725.000 5030050.000 1.500
649750.000 5030050.000 1.500
649375.000 5030025.000 1.500
649400.000 5030025.000 1.500
649425.000 5030025.000 1.500
649450.000 5030025.000 1.500
649475.000 5030025.000 1.500
649500.000 5030025.000 1.500
649525.000 5030025.000 1.500
649550.000 5030025.000 1.500
649575.000 5030025.000 1.500
649600.000 5030025.000 1.500
649625.000 5030025.000 1.500
649650.000 5030025.000 1.500
649675.000 5030025.000 1.500
649700.000 5030025.000 1.500
649725.000 5030025.000 1.500
649750.000 5030025.000 1.500
649775.000 5030025.000 1.500
649800.000 5030025.000 1.500
649825.000 5030025.000 1.500
649850.000 5030025.000 1.500
649875.000 5030025.000 1.500
649900.000 5030025.000 1.500
649375.000 5030000.000 1.500
649400.000 5030000.000 1.500
649425.000 5030000.000 1.500
649450.000 5030000.000 1.500
649475.000 5030000.000 1.500
649500.000 5030000.000 1.500
649525.000 5030000.000 1.500
649550.000 5030000.000 1.500
649575.000 5030000.000 1.500
649600.000 5030000.000 1.500
649625.000 5030000.000 1.500
649650.000 5030000.000 1.500
649675.000 5030000.000 1.500
649700.000 5030000.000 1.500
649725.000 5030000.000 1.500
649750.000 5030000.000 1.500
649775.000 5030000.000 1.500
649800.000 5030000.000 1.500
649825.000 5030000.000 1.500
649850.000 5030000.000 1.500
649875.000 5030000.000 1.500
649900.000 5030000.000 1.500
649925.000 5030000.000 1.500
649950.000 5030000.000 1.500
649975.000 5030000.000 1.500
649375.000 5029975.000 1.500
649400.000 5029975.000 1.500
649425.000 5029975.000 1.500
649450.000 5029975.000 1.500
649475.000 5029975.000 1.500
649500.000 5029975.000 1.500
649525.000 5029975.000 1.500
649550.000 5029975.000 1.500
649575.000 5029975.000 1.500
649600.000 5029975.000 1.500
649625.000 5029975.000 1.500
649650.000 5029975.000 1.500
649675.000 5029975.000 1.500
649700.000 5029975.000 1.500
649725.000 5029975.000 1.500
649750.000 5029975.000 1.500
649775.000 5029975.000 1.500
649800.000 5029975.000 1.500
649825.000 5029975.000 1.500
649850.000 5029975.000 1.500
649875.000 5029975.000 1.500
649900.000 5029975.000 1.500
649925.000 5029975.000 1.500
649950.000 5029975.000 1.500
649375.000 5029950.000 1.500
649400.000 5029950.000 1.500
649425.000 5029950.000 1.500
649450.000 5029950.000 1.500
649475.000 5029950.000 1.500
649500.000 5029950.000 1.500
649525.000 5029950.000 1.500
649550.000 5029950.000 1.500
649575.000 5029950.000 1.500
649600.000 5029950.000 1.500
649625.000 5029950.000 1.500
649650.000 5029950.000 1.500
649675.000 5029950.000 1.500
649700.000 5029950.000 1.500
649725.000 5029950.000 1.500
649750.000 5029950.000 1.500
649775.000 5029950.000 1.500
649800.000 5029950.000 1.500
649825.000 5029950.000 1.500
649850.000 5029950.000 1.500
649875.000 5029950.000 1.500
649900.000 5029950.000 1.500
649925.000 5029950.000 1.500
649950.000 5029950.000 1.500
649375.000 5029925.000 1.500
649400.000 5029925.000 1.500
649425.000 5029925.000 1.500
649450.000 5029925.000 1.500
649475.000 5029925.000 1.500
649500.000 5029925.000 1.500
649525.000 5029925.000 1.500
649550.000 5029925.000 1.500
649575.000 5029925.000 1.500
649600.000 5029925.000 1.500
649625.000 5029925.000 1.500
649650.000 5029925.000 1.500
649675.000 5029925.000 1.500
649700.000 5029925.000 1.500
649725.000 5029925.000 1.500
649750.000 5029925.000 1.500
649775.000 5029925.000 1.500
649800.000 5029925.000 1.500
649825.000 5029925.000 1.500
649850.000 5029925.000 1.500
649875.000 5029925.000 1.500
649900.000 5029925.000 1.500
649925.000 5029925.000 1.500
649950.000 5029925.000 1.500
649375.000 5029900.000 1.500
649400.000 5029900.000 1.500
649425.000 5029900.000 1.500
649450.000 5029900.000 1.500
649475.000 5029900.000 1.500
649500.000 5029900.000 1.500
649525.000 5029900.000 1.500
649550.000 5029900.000 1.500
649575.000 5029900.000 1.500
649600.000 5029900.000 1.500
649625.000 5029900.000 1.500
649650.000 5029900.000 1.500
