This file contains receptor locations
X_coordinate  Y_Coordinate  Z_Coordinate
----------------------------------------------
684675.000 5152125.000 1.500
684700.000 5152125.000 1.500
684725.000 5152125.000 1.500
684750.000 5152125.000 1.500
684550.000 5152100.000 1.500
684575.000 5152100.000 1.500
684600.000 5152100.000 1.500
684625.000 5152100.000 1.500
684650.000 5152100.000 1.500
684675.000 5152100.000 1.500
684700.000 5152100.000 1.500
684725.000 5152100.000 1.500
684750.000 5152100.000 1.500
684475.000 5152075.000 1.500
684500.000 5152075.000 1.500
684525.000 5152075.000 1.500
684550.000 5152075.000 1.500
684575.000 5152075.000 1.500
684600.000 5152075.000 1.500
684625.000 5152075.000 1.500
684650.000 5152075.000 1.500
684675.000 5152075.000 1.500
684700.000 5152075.000 1.500
684725.000 5152075.000 1.500
684750.000 5152075.000 1.500
684375.000 5152050.000 1.500
684400.000 5152050.000 1.500
684425.000 5152050.000 1.500
684450.000 5152050.000 1.500
684475.000 5152050.000 1.500
684500.000 5152050.000 1.500
684525.000 5152050.000 1.500
684550.000 5152050.000 1.500
684575.000 5152050.000 1.500
684600.000 5152050.000 1.500
684625.000 5152050.000 1.500
684650.000 5152050.000 1.500
684675.000 5152050.000 1.500
684700.000 5152050.000 1.500
684725.000 5152050.000 1.500
684750.000 5152050.000 1.500
684300.000 5152025.000 1.500
684325.000 5152025.000 1.500
684350.000 5152025.000 1.500
684375.000 5152025.000 1.500
684400.000 5152025.000 1.500
684425.000 5152025.000 1.500
684450.000 5152025.000 1.500
684475.000 5152025.000 1.500
684500.000 5152025.000 1.500
684525.000 5152025.000 1.500
684550.000 5152025.000 1.500
684575.000 5152025.000 1.500
684600.000 5152025.000 1.500
684625.000 5152025.000 1.500
684650.000 5152025.000 1.500
684675.000 5152025.000 1.500
684700.000 5152025.000 1.500
684725.000 5152025.000 1.500
684750.000 5152025.000 1.500
684225.000 5152000.000 1.500
684250.000 5152000.000 1.500
684275.000 5152000.000 1.500
684300.000 5152000.000 1.500
684325.000 5152000.000 1.500
684350.000 5152000.000 1.500
684375.000 5152000.000 1.500
684400.000 5152000.000 1.500
684425.000 5152000.000 1.500
684450.000 5152000.000 1.500
684475.000 5152000.000 1.500
684500.000 5152000.000 1.500
684525.000 5152000.000 1.500
684550.000 5152000.000 1.500
684575.000 5152000.000 1.500
684600.000 5152000.000 1.500
684625.000 5152000.000 1.500
684650.000 5152000.000 1.500
684675.000 5152000.000 1.500
684700.000 5152000.000 1.500
684725.000 5152000.000 1.500
684750.000 5152000.000 1.500
684125.000 5151975.000 1.500
684150.000 5151975.000 1.500
684175.000 5151975.000 1.500
684200.000 5151975.000 1.500
684225.000 5151975.000 1.500
684250.000 5151975.000 1.500
684275.000 5151975.000 1.500
684300.000 5151975.000 1.500
684325.000 5151975.000 1.500
684350.000 5151975.000 1.500
684375.000 5151975.000 1.500
684400.000 5151975.000 1.500
684425.000 5151975.000 1.500
684450.000 5151975.000 1.500
684475.000 5151975.000 1.500
684500.000 5151975.000 1.500
684525.000 5151975.000 1.500
684550.000 5151975.000 1.500
684575.000 5151975.000 1.500
684600.000 5151975.000 1.500
684625.000 5151975.000 1.500
684650.000 5151975.000 1.500
684675.000 5151975.000 1.500
684700.000 5151975.000 1.500
684725.000 5151975.000 1.500
684750.000 5151975.000 1.500
684025.000 5151950.000 1.500
684050.000 5151950.000 1.500
684075.000 5151950.000 1.500
684100.000 5151950.000 1.500
684125.000 5151950.000 1.500
684150.000 5151950.000 1.500
684175.000 5151950.000 1.500
684200.000 5151950.000 1.500
684225.000 5151950.000 1.500
684250.000 5151950.000 1.500
684275.000 5151950.000 1.500
684300.000 5151950.000 1.500
684325.000 5151950.000 1.500
684350.000 5151950.000 1.500
684375.000 5151950.000 1.500
684400.000 5151950.000 1.500
684425.000 5151950.000 1.500
684450.000 5151950.000 1.500
684475.000 5151950.000 1.500
684500.000 5151950.000 1.500
684525.000 5151950.000 1.500
684550.000 5151950.000 1.500
684575.000 5151950.000 1.500
684600.000 5151950.000 1.500
684625.000 5151950.000 1.500
684650.000 5151950.000 1.500
684675.000 5151950.000 1.500
684700.000 5151950.000 1.500
684725.000 5151950.000 1.500
684750.000 5151950.000 1.500
684775.000 5151950.000 1.500
683925.000 5151925.000 1.500
683950.000 5151925.000 1.500
683975.000 5151925.000 1.500
684000.000 5151925.000 1.500
684025.000 5151925.000 1.500
684050.000 5151925.000 1.500
684075.000 5151925.000 1.500
684100.000 5151925.000 1.500
684125.000 5151925.000 1.500
684150.000 5151925.000 1.500
684175.000 5151925.000 1.500
684200.000 5151925.000 1.500
684225.000 5151925.000 1.500
684250.000 5151925.000 1.500
684275.000 5151925.000 1.500
684300.000 5151925.000 1.500
684325.000 5151925.000 1.500
684350.000 5151925.000 1.500
684375.000 5151925.000 1.500
684400.000 5151925.000 1.500
684425.000 5151925.000 1.500
684450.000 5151925.000 1.500
684475.000 5151925.000 1.500
684500.000 5151925.000 1.500
684525.000 5151925.000 1.500
684550.000 5151925.000 1.500
684575.000 5151925.000 1.500
684600.000 5151925.000 1.500
684625.000 5151925.000 1.500
684650.000 5151925.000 1.500
684675.000 5151925.000 1.500
684700.000 5151925.000 1.500
684725.000 5151925.000 1.500
684750.000 5151925.000 1.500
684775.000 5151925.000 1.500
682425.000 5151900.000 1.500
682450.000 5151900.000 1.500
682475.000 5151900.000 1.500
682500.000 5151900.000 1.500
682525.000 5151900.000 1.500
682550.000 5151900.000 1.500
682575.000 5151900.000 1.500
682600.000 5151900.000 1.500
682625.000 5151900.000 1.500
682650.000 5151900.000 1.500
682675.000 5151900.000 1.500
682700.000 5151900.000 1.500
682725.000 5151900.000 1.500
682750.000 5151900.000 1.500
682775.000 5151900.000 1.500
682800.000 5151900.000 1.500
682825.000 5151900.000 1.500
682850.000 5151900.000 1.500
682875.000 5151900.000 1.500
682900.000 5151900.000 1.500
682925.000 5151900.000 1.500
682950.000 5151900.000 1.500
682975.000 5151900.000 1.500
683000.000 5151900.000 1.500
683250.000 5151900.000 1.500
683275.000 5151900.000 1.500
683300.000 5151900.000 1.500
683325.000 5151900.000 1.500
683350.000 5151900.000 1.500
683375.000 5151900.000 1.500
683400.000 5151900.000 1.500
683425.000 5151900.000 1.500
