This file contains receptor locations
X_coordinate  Y_Coordinate  Z_Coordinate
----------------------------------------------
664275.000 5118655.000 1.500
664300.000 5118655.000 1.500
664325.000 5118655.000 1.500
664250.000 5118630.000 1.500
664275.000 5118630.000 1.500
664300.000 5118630.000 1.500
664325.000 5118630.000 1.500
664350.000 5118630.000 1.500
664225.000 5118605.000 1.500
664250.000 5118605.000 1.500
664275.000 5118605.000 1.500
664300.000 5118605.000 1.500
664325.000 5118605.000 1.500
664350.000 5118605.000 1.500
664375.000 5118605.000 1.500
664200.000 5118580.000 1.500
664225.000 5118580.000 1.500
664250.000 5118580.000 1.500
664275.000 5118580.000 1.500
664300.000 5118580.000 1.500
664325.000 5118580.000 1.500
664350.000 5118580.000 1.500
664375.000 5118580.000 1.500
664400.000 5118580.000 1.500
664175.000 5118555.000 1.500
664200.000 5118555.000 1.500
664225.000 5118555.000 1.500
664250.000 5118555.000 1.500
664275.000 5118555.000 1.500
664300.000 5118555.000 1.500
664325.000 5118555.000 1.500
664350.000 5118555.000 1.500
664375.000 5118555.000 1.500
664400.000 5118555.000 1.500
664425.000 5118555.000 1.500
664150.000 5118530.000 1.500
664175.000 5118530.000 1.500
664200.000 5118530.000 1.500
664225.000 5118530.000 1.500
664250.000 5118530.000 1.500
664275.000 5118530.000 1.500
664300.000 5118530.000 1.500
664325.000 5118530.000 1.500
664350.000 5118530.000 1.500
664375.000 5118530.000 1.500
664400.000 5118530.000 1.500
664425.000 5118530.000 1.500
664450.000 5118530.000 1.500
664125.000 5118505.000 1.500
664150.000 5118505.000 1.500
664175.000 5118505.000 1.500
664200.000 5118505.000 1.500
664225.000 5118505.000 1.500
664250.000 5118505.000 1.500
664275.000 5118505.000 1.500
664300.000 5118505.000 1.500
664325.000 5118505.000 1.500
664350.000 5118505.000 1.500
664375.000 5118505.000 1.500
664400.000 5118505.000 1.500
664425.000 5118505.000 1.500
664450.000 5118505.000 1.500
664475.000 5118505.000 1.500
664100.000 5118480.000 1.500
664125.000 5118480.000 1.500
664150.000 5118480.000 1.500
664175.000 5118480.000 1.500
664200.000 5118480.000 1.500
664225.000 5118480.000 1.500
664250.000 5118480.000 1.500
664275.000 5118480.000 1.500
664300.000 5118480.000 1.500
664325.000 5118480.000 1.500
664350.000 5118480.000 1.500
664375.000 5118480.000 1.500
664400.000 5118480.000 1.500
664425.000 5118480.000 1.500
664450.000 5118480.000 1.500
664475.000 5118480.000 1.500
664500.000 5118480.000 1.500
664075.000 5118455.000 1.500
664100.000 5118455.000 1.500
664125.000 5118455.000 1.500
664150.000 5118455.000 1.500
664175.000 5118455.000 1.500
664200.000 5118455.000 1.500
664225.000 5118455.000 1.500
664250.000 5118455.000 1.500
664275.000 5118455.000 1.500
664300.000 5118455.000 1.500
664325.000 5118455.000 1.500
664350.000 5118455.000 1.500
664375.000 5118455.000 1.500
664400.000 5118455.000 1.500
664425.000 5118455.000 1.500
664450.000 5118455.000 1.500
664475.000 5118455.000 1.500
664500.000 5118455.000 1.500
664525.000 5118455.000 1.500
664050.000 5118430.000 1.500
664075.000 5118430.000 1.500
664100.000 5118430.000 1.500
664125.000 5118430.000 1.500
664150.000 5118430.000 1.500
664175.000 5118430.000 1.500
664200.000 5118430.000 1.500
664225.000 5118430.000 1.500
664250.000 5118430.000 1.500
664275.000 5118430.000 1.500
664300.000 5118430.000 1.500
664325.000 5118430.000 1.500
664350.000 5118430.000 1.500
664375.000 5118430.000 1.500
664400.000 5118430.000 1.500
664425.000 5118430.000 1.500
664450.000 5118430.000 1.500
664475.000 5118430.000 1.500
664500.000 5118430.000 1.500
664525.000 5118430.000 1.500
664550.000 5118430.000 1.500
664025.000 5118405.000 1.500
664050.000 5118405.000 1.500
664075.000 5118405.000 1.500
664100.000 5118405.000 1.500
664125.000 5118405.000 1.500
664150.000 5118405.000 1.500
664175.000 5118405.000 1.500
664200.000 5118405.000 1.500
664225.000 5118405.000 1.500
664250.000 5118405.000 1.500
664275.000 5118405.000 1.500
664300.000 5118405.000 1.500
664325.000 5118405.000 1.500
664350.000 5118405.000 1.500
664375.000 5118405.000 1.500
664400.000 5118405.000 1.500
664425.000 5118405.000 1.500
664450.000 5118405.000 1.500
664475.000 5118405.000 1.500
664500.000 5118405.000 1.500
664525.000 5118405.000 1.500
664550.000 5118405.000 1.500
664575.000 5118405.000 1.500
664000.000 5118380.000 1.500
664025.000 5118380.000 1.500
664050.000 5118380.000 1.500
664075.000 5118380.000 1.500
664100.000 5118380.000 1.500
664125.000 5118380.000 1.500
664150.000 5118380.000 1.500
664175.000 5118380.000 1.500
664200.000 5118380.000 1.500
664225.000 5118380.000 1.500
664250.000 5118380.000 1.500
664275.000 5118380.000 1.500
664300.000 5118380.000 1.500
664325.000 5118380.000 1.500
664350.000 5118380.000 1.500
664375.000 5118380.000 1.500
664400.000 5118380.000 1.500
664425.000 5118380.000 1.500
664450.000 5118380.000 1.500
664475.000 5118380.000 1.500
664500.000 5118380.000 1.500
664525.000 5118380.000 1.500
664550.000 5118380.000 1.500
664575.000 5118380.000 1.500
664600.000 5118380.000 1.500
663975.000 5118355.000 1.500
664000.000 5118355.000 1.500
664025.000 5118355.000 1.500
664050.000 5118355.000 1.500
664075.000 5118355.000 1.500
664100.000 5118355.000 1.500
664125.000 5118355.000 1.500
664150.000 5118355.000 1.500
664175.000 5118355.000 1.500
664200.000 5118355.000 1.500
664225.000 5118355.000 1.500
664250.000 5118355.000 1.500
664275.000 5118355.000 1.500
664300.000 5118355.000 1.500
664325.000 5118355.000 1.500
664350.000 5118355.000 1.500
664375.000 5118355.000 1.500
664400.000 5118355.000 1.500
664425.000 5118355.000 1.500
664450.000 5118355.000 1.500
664475.000 5118355.000 1.500
664500.000 5118355.000 1.500
664525.000 5118355.000 1.500
664550.000 5118355.000 1.500
664575.000 5118355.000 1.500
664600.000 5118355.000 1.500
664625.000 5118355.000 1.500
663950.000 5118330.000 1.500
663975.000 5118330.000 1.500
664000.000 5118330.000 1.500
664025.000 5118330.000 1.500
664050.000 5118330.000 1.500
664075.000 5118330.000 1.500
664100.000 5118330.000 1.500
664125.000 5118330.000 1.500
664150.000 5118330.000 1.500
664175.000 5118330.000 1.500
664200.000 5118330.000 1.500
664225.000 5118330.000 1.500
664250.000 5118330.000 1.500
664275.000 5118330.000 1.500
664300.000 5118330.000 1.500
664325.000 5118330.000 1.500
664350.000 5118330.000 1.500
664375.000 5118330.000 1.500
664400.000 5118330.000 1.500
664425.000 5118330.000 1.500
664450.000 5118330.000 1.500
664475.000 5118330.000 1.500
664500.000 5118330.000 1.500
664525.000 5118330.000 1.500
664550.000 5118330.000 1.500
664575.000 5118330.000 1.500
664600.000 5118330.000 1.500
664625.000 5118330.000 1.500
664650.000 5118330.000 1.500
663925.000 5118305.000 1.500
663950.000 5118305.000 1.500
663975.000 5118305.000 1.500
664000.000 5118305.000 1.500
664025.000 5118305.000 1.500
664050.000 5118305.000 1.500
664075.000 5118305.000 1.500
664100.000 5118305.000 1.500
664125.000 5118305.000 1.500
664150.000 5118305.000 1.500
664175.000 5118305.000 1.500
664200.000 5118305.000 1.500
664225.000 5118305.000 1.500
664250.000 5118305.000 1.500
664275.000 5118305.000 1.500
664300.000 5118305.000 1.500
664325.000 5118305.000 1.500
664350.000 5118305.000 1.500
664375.000 5118305.000 1.500
664400.000 5118305.000 1.500
664425.000 5118305.000 1.500
664450.000 5118305.000 1.500
664475.000 5118305.000 1.500
664500.000 5118305.000 1.500
664525.000 5118305.000 1.500
664550.000 5118305.000 1.500
664575.000 5118305.000 1.500
664600.000 5118305.000 1.500
664625.000 5118305.000 1.500
664650.000 5118305.000 1.500
664675.000 5118305.000 1.500
663900.000 5118280.000 1.500
663925.000 5118280.000 1.500
663950.000 5118280.000 1.500
663975.000 5118280.000 1.500
664000.000 5118280.000 1.500
664025.000 5118280.000 1.500
664050.000 5118280.000 1.500
664075.000 5118280.000 1.500
664100.000 5118280.000 1.500
664125.000 5118280.000 1.500
664150.000 5118280.000 1.500
664175.000 5118280.000 1.500
664200.000 5118280.000 1.500
664225.000 5118280.000 1.500
664250.000 5118280.000 1.500
664275.000 5118280.000 1.500
664300.000 5118280.000 1.500
664325.000 5118280.000 1.500
664350.000 5118280.000 1.500
664375.000 5118280.000 1.500
664400.000 5118280.000 1.500
664425.000 5118280.000 1.500
664450.000 5118280.000 1.500
664475.000 5118280.000 1.500
664500.000 5118280.000 1.500
664525.000 5118280.000 1.500
664550.000 5118280.000 1.500
664575.000 5118280.000 1.500
664600.000 5118280.000 1.500
664625.000 5118280.000 1.500
664650.000 5118280.000 1.500
