This file contains receptor locations
X_coordinate  Y_Coordinate  Z_Coordinate
----------------------------------------------
649500.000 5032575.000 1.500
649525.000 5032575.000 1.500
649400.000 5032550.000 1.500
649425.000 5032550.000 1.500
649450.000 5032550.000 1.500
649475.000 5032550.000 1.500
649500.000 5032550.000 1.500
649525.000 5032550.000 1.500
649550.000 5032550.000 1.500
649350.000 5032525.000 1.500
649375.000 5032525.000 1.500
649400.000 5032525.000 1.500
649425.000 5032525.000 1.500
649450.000 5032525.000 1.500
649475.000 5032525.000 1.500
649500.000 5032525.000 1.500
649525.000 5032525.000 1.500
649550.000 5032525.000 1.500
649275.000 5032500.000 1.500
649300.000 5032500.000 1.500
649325.000 5032500.000 1.500
649350.000 5032500.000 1.500
649375.000 5032500.000 1.500
649400.000 5032500.000 1.500
649425.000 5032500.000 1.500
649450.000 5032500.000 1.500
649475.000 5032500.000 1.500
649500.000 5032500.000 1.500
649525.000 5032500.000 1.500
649550.000 5032500.000 1.500
649225.000 5032475.000 1.500
649250.000 5032475.000 1.500
649275.000 5032475.000 1.500
649300.000 5032475.000 1.500
649325.000 5032475.000 1.500
649350.000 5032475.000 1.500
649375.000 5032475.000 1.500
649400.000 5032475.000 1.500
649425.000 5032475.000 1.500
649450.000 5032475.000 1.500
649475.000 5032475.000 1.500
649500.000 5032475.000 1.500
649525.000 5032475.000 1.500
649550.000 5032475.000 1.500
649575.000 5032475.000 1.500
649150.000 5032450.000 1.500
649175.000 5032450.000 1.500
649200.000 5032450.000 1.500
649225.000 5032450.000 1.500
649250.000 5032450.000 1.500
649275.000 5032450.000 1.500
649300.000 5032450.000 1.500
649325.000 5032450.000 1.500
649350.000 5032450.000 1.500
649375.000 5032450.000 1.500
649400.000 5032450.000 1.500
649425.000 5032450.000 1.500
649450.000 5032450.000 1.500
649475.000 5032450.000 1.500
649500.000 5032450.000 1.500
649525.000 5032450.000 1.500
649550.000 5032450.000 1.500
649575.000 5032450.000 1.500
649075.000 5032425.000 1.500
649100.000 5032425.000 1.500
649125.000 5032425.000 1.500
649150.000 5032425.000 1.500
649175.000 5032425.000 1.500
649200.000 5032425.000 1.500
649225.000 5032425.000 1.500
649250.000 5032425.000 1.500
649275.000 5032425.000 1.500
649300.000 5032425.000 1.500
649325.000 5032425.000 1.500
649350.000 5032425.000 1.500
649375.000 5032425.000 1.500
649400.000 5032425.000 1.500
649425.000 5032425.000 1.500
649450.000 5032425.000 1.500
649475.000 5032425.000 1.500
649500.000 5032425.000 1.500
649525.000 5032425.000 1.500
649550.000 5032425.000 1.500
649575.000 5032425.000 1.500
649025.000 5032400.000 1.500
649050.000 5032400.000 1.500
649075.000 5032400.000 1.500
649100.000 5032400.000 1.500
649125.000 5032400.000 1.500
649150.000 5032400.000 1.500
649175.000 5032400.000 1.500
649200.000 5032400.000 1.500
649225.000 5032400.000 1.500
649250.000 5032400.000 1.500
649275.000 5032400.000 1.500
649300.000 5032400.000 1.500
649325.000 5032400.000 1.500
649350.000 5032400.000 1.500
649375.000 5032400.000 1.500
649400.000 5032400.000 1.500
649425.000 5032400.000 1.500
649450.000 5032400.000 1.500
649475.000 5032400.000 1.500
649500.000 5032400.000 1.500
649525.000 5032400.000 1.500
649550.000 5032400.000 1.500
649575.000 5032400.000 1.500
649600.000 5032400.000 1.500
649000.000 5032375.000 1.500
649025.000 5032375.000 1.500
649050.000 5032375.000 1.500
649075.000 5032375.000 1.500
649100.000 5032375.000 1.500
649125.000 5032375.000 1.500
649150.000 5032375.000 1.500
649175.000 5032375.000 1.500
649200.000 5032375.000 1.500
649225.000 5032375.000 1.500
649250.000 5032375.000 1.500
649275.000 5032375.000 1.500
649300.000 5032375.000 1.500
649325.000 5032375.000 1.500
649350.000 5032375.000 1.500
649375.000 5032375.000 1.500
649400.000 5032375.000 1.500
649425.000 5032375.000 1.500
649450.000 5032375.000 1.500
649475.000 5032375.000 1.500
649500.000 5032375.000 1.500
649525.000 5032375.000 1.500
649550.000 5032375.000 1.500
649575.000 5032375.000 1.500
649600.000 5032375.000 1.500
649000.000 5032350.000 1.500
649025.000 5032350.000 1.500
649050.000 5032350.000 1.500
649075.000 5032350.000 1.500
649100.000 5032350.000 1.500
649125.000 5032350.000 1.500
649150.000 5032350.000 1.500
649175.000 5032350.000 1.500
649200.000 5032350.000 1.500
649225.000 5032350.000 1.500
649250.000 5032350.000 1.500
649275.000 5032350.000 1.500
649300.000 5032350.000 1.500
649325.000 5032350.000 1.500
649350.000 5032350.000 1.500
649375.000 5032350.000 1.500
649400.000 5032350.000 1.500
649425.000 5032350.000 1.500
649450.000 5032350.000 1.500
649475.000 5032350.000 1.500
649500.000 5032350.000 1.500
649525.000 5032350.000 1.500
649550.000 5032350.000 1.500
649575.000 5032350.000 1.500
649600.000 5032350.000 1.500
649625.000 5032350.000 1.500
649000.000 5032325.000 1.500
649025.000 5032325.000 1.500
649050.000 5032325.000 1.500
649075.000 5032325.000 1.500
649100.000 5032325.000 1.500
649125.000 5032325.000 1.500
649150.000 5032325.000 1.500
649175.000 5032325.000 1.500
649200.000 5032325.000 1.500
649225.000 5032325.000 1.500
649250.000 5032325.000 1.500
649275.000 5032325.000 1.500
649300.000 5032325.000 1.500
649325.000 5032325.000 1.500
649350.000 5032325.000 1.500
649375.000 5032325.000 1.500
649400.000 5032325.000 1.500
649425.000 5032325.000 1.500
649450.000 5032325.000 1.500
649475.000 5032325.000 1.500
649500.000 5032325.000 1.500
649525.000 5032325.000 1.500
649550.000 5032325.000 1.500
649575.000 5032325.000 1.500
649600.000 5032325.000 1.500
649625.000 5032325.000 1.500
649025.000 5032300.000 1.500
649050.000 5032300.000 1.500
649075.000 5032300.000 1.500
649100.000 5032300.000 1.500
649125.000 5032300.000 1.500
649150.000 5032300.000 1.500
649175.000 5032300.000 1.500
649200.000 5032300.000 1.500
649225.000 5032300.000 1.500
649250.000 5032300.000 1.500
649275.000 5032300.000 1.500
649300.000 5032300.000 1.500
649325.000 5032300.000 1.500
649350.000 5032300.000 1.500
649375.000 5032300.000 1.500
649400.000 5032300.000 1.500
649425.000 5032300.000 1.500
649450.000 5032300.000 1.500
649475.000 5032300.000 1.500
649500.000 5032300.000 1.500
649525.000 5032300.000 1.500
649550.000 5032300.000 1.500
649575.000 5032300.000 1.500
649600.000 5032300.000 1.500
649625.000 5032300.000 1.500
649025.000 5032275.000 1.500
649050.000 5032275.000 1.500
649075.000 5032275.000 1.500
649100.000 5032275.000 1.500
649125.000 5032275.000 1.500
649150.000 5032275.000 1.500
649175.000 5032275.000 1.500
649200.000 5032275.000 1.500
649225.000 5032275.000 1.500
649250.000 5032275.000 1.500
649275.000 5032275.000 1.500
649300.000 5032275.000 1.500
649325.000 5032275.000 1.500
649350.000 5032275.000 1.500
649375.000 5032275.000 1.500
649400.000 5032275.000 1.500
649425.000 5032275.000 1.500
649450.000 5032275.000 1.500
649475.000 5032275.000 1.500
649500.000 5032275.000 1.500
649525.000 5032275.000 1.500
649550.000 5032275.000 1.500
649575.000 5032275.000 1.500
649600.000 5032275.000 1.500
649625.000 5032275.000 1.500
649650.000 5032275.000 1.500
649025.000 5032250.000 1.500
649050.000 5032250.000 1.500
649075.000 5032250.000 1.500
649100.000 5032250.000 1.500
649125.000 5032250.000 1.500
649150.000 5032250.000 1.500
649175.000 5032250.000 1.500
649200.000 5032250.000 1.500
649225.000 5032250.000 1.500
649250.000 5032250.000 1.500
649275.000 5032250.000 1.500
649300.000 5032250.000 1.500
649325.000 5032250.000 1.500
649350.000 5032250.000 1.500
649375.000 5032250.000 1.500
649400.000 5032250.000 1.500
649425.000 5032250.000 1.500
649450.000 5032250.000 1.500
649475.000 5032250.000 1.500
649500.000 5032250.000 1.500
649525.000 5032250.000 1.500
649550.000 5032250.000 1.500
649575.000 5032250.000 1.500
649600.000 5032250.000 1.500
649625.000 5032250.000 1.500
649650.000 5032250.000 1.500
649050.000 5032225.000 1.500
649075.000 5032225.000 1.500
649100.000 5032225.000 1.500
649125.000 5032225.000 1.500
649150.000 5032225.000 1.500
649175.000 5032225.000 1.500
649200.000 5032225.000 1.500
649225.000 5032225.000 1.500
649250.000 5032225.000 1.500
649275.000 5032225.000 1.500
649300.000 5032225.000 1.500
649325.000 5032225.000 1.500
649350.000 5032225.000 1.500
649375.000 5032225.000 1.500
649400.000 5032225.000 1.500
649425.000 5032225.000 1.500
649450.000 5032225.000 1.500
649475.000 5032225.000 1.500
649500.000 5032225.000 1.500
649525.000 5032225.000 1.500
649550.000 5032225.000 1.500
649575.000 5032225.000 1.500
649600.000 5032225.000 1.500
649625.000 5032225.000 1.500
649650.000 5032225.000 1.500
649050.000 5032200.000 1.500
649075.000 5032200.000 1.500
649100.000 5032200.000 1.500
649125.000 5032200.000 1.500
649150.000 5032200.000 1.500
649175.000 5032200.000 1.500
649200.000 5032200.000 1.500
649225.000 5032200.000 1.500
649250.000 5032200.000 1.500
649275.000 5032200.000 1.500
649300.000 5032200.000 1.500
649325.000 5032200.000 1.500
649350.000 5032200.000 1.500
649375.000 5032200.000 1.500
649400.000 5032200.000 1.500
649425.000 5032200.000 1.500
649450.000 5032200.000 1.500
649475.000 5032200.000 1.500
649500.000 5032200.000 1.500
649525.000 5032200.000 1.500
649550.000 5032200.000 1.500
649575.000 5032200.000 1.500
649600.000 5032200.000 1.500
649625.000 5032200.000 1.500
649650.000 5032200.000 1.500
649675.000 5032200.000 1.500
649075.000 5032175.000 1.500
649100.000 5032175.000 1.500
649125.000 5032175.000 1.500
