This file contains receptor locations
X_coordinate  Y_Coordinate  Z_Coordinate
----------------------------------------------
655500.000 5078730.000 1.500
655525.000 5078730.000 1.500
655550.000 5078730.000 1.500
655575.000 5078730.000 1.500
655600.000 5078730.000 1.500
655400.000 5078705.000 1.500
655425.000 5078705.000 1.500
655450.000 5078705.000 1.500
655475.000 5078705.000 1.500
655500.000 5078705.000 1.500
655525.000 5078705.000 1.500
655550.000 5078705.000 1.500
655575.000 5078705.000 1.500
655600.000 5078705.000 1.500
655325.000 5078680.000 1.500
655350.000 5078680.000 1.500
655375.000 5078680.000 1.500
655400.000 5078680.000 1.500
655425.000 5078680.000 1.500
655450.000 5078680.000 1.500
655475.000 5078680.000 1.500
655500.000 5078680.000 1.500
655525.000 5078680.000 1.500
655550.000 5078680.000 1.500
655575.000 5078680.000 1.500
655600.000 5078680.000 1.500
655250.000 5078655.000 1.500
655275.000 5078655.000 1.500
655300.000 5078655.000 1.500
655325.000 5078655.000 1.500
655350.000 5078655.000 1.500
655375.000 5078655.000 1.500
655400.000 5078655.000 1.500
655425.000 5078655.000 1.500
655450.000 5078655.000 1.500
655475.000 5078655.000 1.500
655500.000 5078655.000 1.500
655525.000 5078655.000 1.500
655550.000 5078655.000 1.500
655575.000 5078655.000 1.500
655600.000 5078655.000 1.500
655625.000 5078655.000 1.500
655175.000 5078630.000 1.500
655200.000 5078630.000 1.500
655225.000 5078630.000 1.500
655250.000 5078630.000 1.500
655275.000 5078630.000 1.500
655300.000 5078630.000 1.500
655325.000 5078630.000 1.500
655350.000 5078630.000 1.500
655375.000 5078630.000 1.500
655400.000 5078630.000 1.500
655425.000 5078630.000 1.500
655450.000 5078630.000 1.500
655475.000 5078630.000 1.500
655500.000 5078630.000 1.500
655525.000 5078630.000 1.500
655550.000 5078630.000 1.500
655575.000 5078630.000 1.500
655600.000 5078630.000 1.500
655625.000 5078630.000 1.500
655100.000 5078605.000 1.500
655125.000 5078605.000 1.500
655150.000 5078605.000 1.500
655175.000 5078605.000 1.500
655200.000 5078605.000 1.500
655225.000 5078605.000 1.500
655250.000 5078605.000 1.500
655275.000 5078605.000 1.500
655300.000 5078605.000 1.500
655325.000 5078605.000 1.500
655350.000 5078605.000 1.500
655375.000 5078605.000 1.500
655400.000 5078605.000 1.500
655425.000 5078605.000 1.500
655450.000 5078605.000 1.500
655475.000 5078605.000 1.500
655500.000 5078605.000 1.500
655525.000 5078605.000 1.500
655550.000 5078605.000 1.500
655575.000 5078605.000 1.500
655600.000 5078605.000 1.500
655625.000 5078605.000 1.500
655650.000 5078605.000 1.500
655025.000 5078580.000 1.500
655050.000 5078580.000 1.500
655075.000 5078580.000 1.500
655100.000 5078580.000 1.500
655125.000 5078580.000 1.500
655150.000 5078580.000 1.500
655175.000 5078580.000 1.500
655200.000 5078580.000 1.500
655225.000 5078580.000 1.500
655250.000 5078580.000 1.500
655275.000 5078580.000 1.500
655300.000 5078580.000 1.500
655325.000 5078580.000 1.500
655350.000 5078580.000 1.500
655375.000 5078580.000 1.500
655400.000 5078580.000 1.500
655425.000 5078580.000 1.500
655450.000 5078580.000 1.500
655475.000 5078580.000 1.500
655500.000 5078580.000 1.500
655525.000 5078580.000 1.500
655550.000 5078580.000 1.500
655575.000 5078580.000 1.500
655600.000 5078580.000 1.500
655625.000 5078580.000 1.500
655650.000 5078580.000 1.500
655050.000 5078555.000 1.500
655075.000 5078555.000 1.500
655100.000 5078555.000 1.500
655125.000 5078555.000 1.500
655150.000 5078555.000 1.500
655175.000 5078555.000 1.500
655200.000 5078555.000 1.500
655225.000 5078555.000 1.500
655250.000 5078555.000 1.500
655275.000 5078555.000 1.500
655300.000 5078555.000 1.500
655325.000 5078555.000 1.500
655350.000 5078555.000 1.500
655375.000 5078555.000 1.500
655400.000 5078555.000 1.500
655425.000 5078555.000 1.500
655450.000 5078555.000 1.500
655475.000 5078555.000 1.500
655500.000 5078555.000 1.500
655525.000 5078555.000 1.500
655550.000 5078555.000 1.500
655575.000 5078555.000 1.500
655600.000 5078555.000 1.500
655625.000 5078555.000 1.500
655650.000 5078555.000 1.500
655675.000 5078555.000 1.500
655050.000 5078530.000 1.500
655075.000 5078530.000 1.500
655100.000 5078530.000 1.500
655125.000 5078530.000 1.500
655150.000 5078530.000 1.500
655175.000 5078530.000 1.500
655200.000 5078530.000 1.500
655225.000 5078530.000 1.500
655250.000 5078530.000 1.500
655275.000 5078530.000 1.500
655300.000 5078530.000 1.500
655325.000 5078530.000 1.500
655350.000 5078530.000 1.500
655375.000 5078530.000 1.500
655400.000 5078530.000 1.500
655425.000 5078530.000 1.500
655450.000 5078530.000 1.500
655475.000 5078530.000 1.500
655500.000 5078530.000 1.500
655525.000 5078530.000 1.500
655550.000 5078530.000 1.500
655575.000 5078530.000 1.500
655600.000 5078530.000 1.500
655625.000 5078530.000 1.500
655650.000 5078530.000 1.500
655675.000 5078530.000 1.500
655050.000 5078505.000 1.500
655075.000 5078505.000 1.500
655100.000 5078505.000 1.500
655125.000 5078505.000 1.500
655150.000 5078505.000 1.500
655175.000 5078505.000 1.500
655200.000 5078505.000 1.500
655225.000 5078505.000 1.500
655250.000 5078505.000 1.500
655275.000 5078505.000 1.500
655300.000 5078505.000 1.500
655325.000 5078505.000 1.500
655350.000 5078505.000 1.500
655375.000 5078505.000 1.500
655400.000 5078505.000 1.500
655425.000 5078505.000 1.500
655450.000 5078505.000 1.500
655475.000 5078505.000 1.500
655500.000 5078505.000 1.500
655525.000 5078505.000 1.500
655550.000 5078505.000 1.500
655575.000 5078505.000 1.500
655600.000 5078505.000 1.500
655625.000 5078505.000 1.500
655650.000 5078505.000 1.500
655675.000 5078505.000 1.500
655075.000 5078480.000 1.500
655100.000 5078480.000 1.500
655125.000 5078480.000 1.500
655150.000 5078480.000 1.500
655175.000 5078480.000 1.500
655200.000 5078480.000 1.500
655225.000 5078480.000 1.500
655250.000 5078480.000 1.500
655275.000 5078480.000 1.500
655300.000 5078480.000 1.500
655325.000 5078480.000 1.500
655350.000 5078480.000 1.500
655375.000 5078480.000 1.500
655400.000 5078480.000 1.500
655425.000 5078480.000 1.500
655450.000 5078480.000 1.500
655475.000 5078480.000 1.500
655500.000 5078480.000 1.500
655525.000 5078480.000 1.500
655550.000 5078480.000 1.500
655575.000 5078480.000 1.500
655600.000 5078480.000 1.500
655625.000 5078480.000 1.500
655650.000 5078480.000 1.500
655675.000 5078480.000 1.500
655700.000 5078480.000 1.500
655075.000 5078455.000 1.500
655100.000 5078455.000 1.500
655125.000 5078455.000 1.500
655150.000 5078455.000 1.500
655175.000 5078455.000 1.500
655200.000 5078455.000 1.500
655225.000 5078455.000 1.500
655250.000 5078455.000 1.500
655275.000 5078455.000 1.500
655300.000 5078455.000 1.500
655325.000 5078455.000 1.500
655350.000 5078455.000 1.500
655375.000 5078455.000 1.500
655400.000 5078455.000 1.500
655425.000 5078455.000 1.500
655450.000 5078455.000 1.500
655475.000 5078455.000 1.500
655500.000 5078455.000 1.500
655525.000 5078455.000 1.500
655550.000 5078455.000 1.500
655575.000 5078455.000 1.500
655600.000 5078455.000 1.500
655625.000 5078455.000 1.500
655650.000 5078455.000 1.500
655675.000 5078455.000 1.500
655700.000 5078455.000 1.500
655100.000 5078430.000 1.500
655125.000 5078430.000 1.500
655150.000 5078430.000 1.500
655175.000 5078430.000 1.500
655200.000 5078430.000 1.500
655225.000 5078430.000 1.500
655250.000 5078430.000 1.500
655275.000 5078430.000 1.500
655300.000 5078430.000 1.500
655325.000 5078430.000 1.500
655350.000 5078430.000 1.500
655375.000 5078430.000 1.500
655400.000 5078430.000 1.500
655425.000 5078430.000 1.500
655450.000 5078430.000 1.500
655475.000 5078430.000 1.500
655500.000 5078430.000 1.500
655525.000 5078430.000 1.500
655550.000 5078430.000 1.500
655575.000 5078430.000 1.500
655600.000 5078430.000 1.500
655625.000 5078430.000 1.500
655650.000 5078430.000 1.500
655675.000 5078430.000 1.500
655700.000 5078430.000 1.500
655725.000 5078430.000 1.500
655100.000 5078405.000 1.500
655125.000 5078405.000 1.500
655150.000 5078405.000 1.500
655175.000 5078405.000 1.500
655200.000 5078405.000 1.500
655225.000 5078405.000 1.500
655250.000 5078405.000 1.500
655275.000 5078405.000 1.500
655300.000 5078405.000 1.500
655325.000 5078405.000 1.500
655350.000 5078405.000 1.500
655375.000 5078405.000 1.500
655400.000 5078405.000 1.500
655425.000 5078405.000 1.500
655450.000 5078405.000 1.500
655475.000 5078405.000 1.500
655500.000 5078405.000 1.500
655525.000 5078405.000 1.500
655550.000 5078405.000 1.500
655575.000 5078405.000 1.500
655600.000 5078405.000 1.500
655625.000 5078405.000 1.500
655650.000 5078405.000 1.500
655675.000 5078405.000 1.500
655700.000 5078405.000 1.500
655725.000 5078405.000 1.500
655100.000 5078380.000 1.500
655125.000 5078380.000 1.500
655150.000 5078380.000 1.500
655175.000 5078380.000 1.500
655200.000 5078380.000 1.500
655225.000 5078380.000 1.500
655250.000 5078380.000 1.500
655275.000 5078380.000 1.500
655300.000 5078380.000 1.500
655325.000 5078380.000 1.500
655350.000 5078380.000 1.500
655375.000 5078380.000 1.500
655400.000 5078380.000 1.500
655425.000 5078380.000 1.500
655450.000 5078380.000 1.500
655475.000 5078380.000 1.500
655500.000 5078380.000 1.500
655525.000 5078380.000 1.500
655550.000 5078380.000 1.500
655575.000 5078380.000 1.500
655600.000 5078380.000 1.500
655625.000 5078380.000 1.500
655650.000 5078380.000 1.500
655675.000 5078380.000 1.500
655700.000 5078380.000 1.500
655725.000 5078380.000 1.500
655125.000 5078355.000 1.500
655150.000 5078355.000 1.500
655175.000 5078355.000 1.500
655200.000 5078355.000 1.500
655225.000 5078355.000 1.500
655250.000 5078355.000 1.500
655275.000 5078355.000 1.500
655300.000 5078355.000 1.500
655325.000 5078355.000 1.500
655350.000 5078355.000 1.500
655375.000 5078355.000 1.500
655400.000 5078355.000 1.500
655425.000 5078355.000 1.500
655450.000 5078355.000 1.500
655475.000 5078355.000 1.500
655500.000 5078355.000 1.500
655525.000 5078355.000 1.500
655550.000 5078355.000 1.500
655575.000 5078355.000 1.500
655600.000 5078355.000 1.500
655625.000 5078355.000 1.500
655650.000 5078355.000 1.500
655675.000 5078355.000 1.500
655700.000 5078355.000 1.500
655725.000 5078355.000 1.500
655750.000 5078355.000 1.500
655125.000 5078330.000 1.500
655150.000 5078330.000 1.500
655175.000 5078330.000 1.500
655200.000 5078330.000 1.500
655225.000 5078330.000 1.500
655250.000 5078330.000 1.500
655275.000 5078330.000 1.500
655300.000 5078330.000 1.500
655325.000 5078330.000 1.500
655350.000 5078330.000 1.500
655375.000 5078330.000 1.500
655400.000 5078330.000 1.500
655425.000 5078330.000 1.500
655450.000 5078330.000 1.500
655475.000 5078330.000 1.500
655500.000 5078330.000 1.500
655525.000 5078330.000 1.500
655550.000 5078330.000 1.500
655575.000 5078330.000 1.500
655600.000 5078330.000 1.500
655625.000 5078330.000 1.500
655650.000 5078330.000 1.500
655675.000 5078330.000 1.500
655700.000 5078330.000 1.500
655725.000 5078330.000 1.500
655750.000 5078330.000 1.500
655150.000 5078305.000 1.500
655175.000 5078305.000 1.500
655200.000 5078305.000 1.500
655225.000 5078305.000 1.500
655250.000 5078305.000 1.500
655275.000 5078305.000 1.500
655300.000 5078305.000 1.500
655325.000 5078305.000 1.500
655350.000 5078305.000 1.500
655375.000 5078305.000 1.500
655400.000 5078305.000 1.500
655425.000 5078305.000 1.500
655450.000 5078305.000 1.500
655475.000 5078305.000 1.500
655500.000 5078305.000 1.500
655525.000 5078305.000 1.500
655550.000 5078305.000 1.500
655575.000 5078305.000 1.500
655600.000 5078305.000 1.500
655625.000 5078305.000 1.500
655650.000 5078305.000 1.500
655675.000 5078305.000 1.500
655700.000 5078305.000 1.500
655725.000 5078305.000 1.500
655750.000 5078305.000 1.500
655150.000 5078280.000 1.500
655175.000 5078280.000 1.500
655200.000 5078280.000 1.500
655225.000 5078280.000 1.500
655250.000 5078280.000 1.500
655275.000 5078280.000 1.500
655300.000 5078280.000 1.500
655325.000 5078280.000 1.500
655350.000 5078280.000 1.500
655375.000 5078280.000 1.500
655400.000 5078280.000 1.500
655425.000 5078280.000 1.500
655450.000 5078280.000 1.500
655475.000 5078280.000 1.500
655500.000 5078280.000 1.500
655525.000 5078280.000 1.500
655550.000 5078280.000 1.500
655575.000 5078280.000 1.500
655600.000 5078280.000 1.500
655625.000 5078280.000 1.500
655650.000 5078280.000 1.500
655675.000 5078280.000 1.500
655700.000 5078280.000 1.500
655725.000 5078280.000 1.500
655750.000 5078280.000 1.500
655775.000 5078280.000 1.500
655175.000 5078255.000 1.500
655200.000 5078255.000 1.500
655225.000 5078255.000 1.500
655250.000 5078255.000 1.500
655275.000 5078255.000 1.500
655300.000 5078255.000 1.500
655325.000 5078255.000 1.500
655350.000 5078255.000 1.500
655375.000 5078255.000 1.500
655400.000 5078255.000 1.500
655425.000 5078255.000 1.500
655450.000 5078255.000 1.500
655475.000 5078255.000 1.500
655500.000 5078255.000 1.500
655525.000 5078255.000 1.500
655550.000 5078255.000 1.500
