This file contains receptor locations
X_coordinate  Y_Coordinate  Z_Coordinate
----------------------------------------------
677525.000 5149425.000 1.500
677475.000 5149400.000 1.500
677500.000 5149400.000 1.500
677525.000 5149400.000 1.500
677550.000 5149400.000 1.500
677575.000 5149400.000 1.500
677475.000 5149375.000 1.500
677500.000 5149375.000 1.500
677525.000 5149375.000 1.500
677550.000 5149375.000 1.500
677575.000 5149375.000 1.500
677600.000 5149375.000 1.500
677625.000 5149375.000 1.500
677450.000 5149350.000 1.500
677475.000 5149350.000 1.500
677500.000 5149350.000 1.500
677525.000 5149350.000 1.500
677550.000 5149350.000 1.500
677575.000 5149350.000 1.500
677600.000 5149350.000 1.500
677625.000 5149350.000 1.500
677650.000 5149350.000 1.500
677675.000 5149350.000 1.500
677450.000 5149325.000 1.500
677475.000 5149325.000 1.500
677500.000 5149325.000 1.500
677525.000 5149325.000 1.500
677550.000 5149325.000 1.500
677575.000 5149325.000 1.500
677600.000 5149325.000 1.500
677625.000 5149325.000 1.500
677650.000 5149325.000 1.500
677675.000 5149325.000 1.500
677700.000 5149325.000 1.500
677725.000 5149325.000 1.500
677425.000 5149300.000 1.500
677450.000 5149300.000 1.500
677475.000 5149300.000 1.500
677500.000 5149300.000 1.500
677525.000 5149300.000 1.500
677550.000 5149300.000 1.500
677575.000 5149300.000 1.500
677600.000 5149300.000 1.500
677625.000 5149300.000 1.500
677650.000 5149300.000 1.500
677675.000 5149300.000 1.500
677700.000 5149300.000 1.500
677725.000 5149300.000 1.500
677750.000 5149300.000 1.500
677775.000 5149300.000 1.500
677425.000 5149275.000 1.500
677450.000 5149275.000 1.500
677475.000 5149275.000 1.500
677500.000 5149275.000 1.500
677525.000 5149275.000 1.500
677550.000 5149275.000 1.500
677575.000 5149275.000 1.500
677600.000 5149275.000 1.500
677625.000 5149275.000 1.500
677650.000 5149275.000 1.500
677675.000 5149275.000 1.500
677700.000 5149275.000 1.500
677725.000 5149275.000 1.500
677750.000 5149275.000 1.500
677775.000 5149275.000 1.500
677800.000 5149275.000 1.500
677825.000 5149275.000 1.500
677400.000 5149250.000 1.500
677425.000 5149250.000 1.500
677450.000 5149250.000 1.500
677475.000 5149250.000 1.500
677500.000 5149250.000 1.500
677525.000 5149250.000 1.500
677550.000 5149250.000 1.500
677575.000 5149250.000 1.500
677600.000 5149250.000 1.500
677625.000 5149250.000 1.500
677650.000 5149250.000 1.500
677675.000 5149250.000 1.500
677700.000 5149250.000 1.500
677725.000 5149250.000 1.500
677750.000 5149250.000 1.500
677775.000 5149250.000 1.500
677800.000 5149250.000 1.500
677825.000 5149250.000 1.500
677850.000 5149250.000 1.500
677875.000 5149250.000 1.500
677400.000 5149225.000 1.500
677425.000 5149225.000 1.500
677450.000 5149225.000 1.500
677475.000 5149225.000 1.500
677500.000 5149225.000 1.500
677525.000 5149225.000 1.500
677550.000 5149225.000 1.500
677575.000 5149225.000 1.500
677600.000 5149225.000 1.500
677625.000 5149225.000 1.500
677650.000 5149225.000 1.500
677675.000 5149225.000 1.500
677700.000 5149225.000 1.500
677725.000 5149225.000 1.500
677750.000 5149225.000 1.500
677775.000 5149225.000 1.500
677800.000 5149225.000 1.500
677825.000 5149225.000 1.500
677850.000 5149225.000 1.500
677875.000 5149225.000 1.500
677900.000 5149225.000 1.500
677925.000 5149225.000 1.500
677375.000 5149200.000 1.500
677400.000 5149200.000 1.500
677425.000 5149200.000 1.500
677450.000 5149200.000 1.500
677475.000 5149200.000 1.500
677500.000 5149200.000 1.500
677525.000 5149200.000 1.500
677550.000 5149200.000 1.500
677575.000 5149200.000 1.500
677600.000 5149200.000 1.500
677625.000 5149200.000 1.500
677650.000 5149200.000 1.500
677675.000 5149200.000 1.500
677700.000 5149200.000 1.500
677725.000 5149200.000 1.500
677750.000 5149200.000 1.500
677775.000 5149200.000 1.500
677800.000 5149200.000 1.500
677825.000 5149200.000 1.500
677850.000 5149200.000 1.500
677875.000 5149200.000 1.500
677900.000 5149200.000 1.500
677925.000 5149200.000 1.500
677950.000 5149200.000 1.500
677975.000 5149200.000 1.500
677350.000 5149175.000 1.500
677375.000 5149175.000 1.500
677400.000 5149175.000 1.500
677425.000 5149175.000 1.500
677450.000 5149175.000 1.500
677475.000 5149175.000 1.500
677500.000 5149175.000 1.500
677525.000 5149175.000 1.500
677550.000 5149175.000 1.500
677575.000 5149175.000 1.500
677600.000 5149175.000 1.500
677625.000 5149175.000 1.500
677650.000 5149175.000 1.500
677675.000 5149175.000 1.500
677700.000 5149175.000 1.500
677725.000 5149175.000 1.500
677750.000 5149175.000 1.500
677775.000 5149175.000 1.500
677800.000 5149175.000 1.500
677825.000 5149175.000 1.500
677850.000 5149175.000 1.500
677875.000 5149175.000 1.500
677900.000 5149175.000 1.500
677925.000 5149175.000 1.500
677950.000 5149175.000 1.500
677975.000 5149175.000 1.500
678000.000 5149175.000 1.500
678025.000 5149175.000 1.500
677350.000 5149150.000 1.500
677375.000 5149150.000 1.500
677400.000 5149150.000 1.500
677425.000 5149150.000 1.500
677450.000 5149150.000 1.500
677475.000 5149150.000 1.500
677500.000 5149150.000 1.500
677525.000 5149150.000 1.500
677550.000 5149150.000 1.500
677575.000 5149150.000 1.500
677600.000 5149150.000 1.500
677625.000 5149150.000 1.500
677650.000 5149150.000 1.500
677675.000 5149150.000 1.500
677700.000 5149150.000 1.500
677725.000 5149150.000 1.500
677750.000 5149150.000 1.500
677775.000 5149150.000 1.500
677800.000 5149150.000 1.500
677825.000 5149150.000 1.500
677850.000 5149150.000 1.500
677875.000 5149150.000 1.500
677900.000 5149150.000 1.500
677925.000 5149150.000 1.500
677950.000 5149150.000 1.500
677975.000 5149150.000 1.500
678000.000 5149150.000 1.500
677325.000 5149125.000 1.500
677350.000 5149125.000 1.500
677375.000 5149125.000 1.500
677400.000 5149125.000 1.500
677425.000 5149125.000 1.500
677450.000 5149125.000 1.500
677475.000 5149125.000 1.500
677500.000 5149125.000 1.500
677525.000 5149125.000 1.500
677550.000 5149125.000 1.500
677575.000 5149125.000 1.500
677600.000 5149125.000 1.500
677625.000 5149125.000 1.500
677650.000 5149125.000 1.500
677675.000 5149125.000 1.500
677700.000 5149125.000 1.500
677725.000 5149125.000 1.500
677750.000 5149125.000 1.500
677775.000 5149125.000 1.500
677800.000 5149125.000 1.500
677825.000 5149125.000 1.500
677850.000 5149125.000 1.500
677875.000 5149125.000 1.500
677900.000 5149125.000 1.500
677925.000 5149125.000 1.500
677950.000 5149125.000 1.500
677975.000 5149125.000 1.500
678000.000 5149125.000 1.500
677300.000 5149100.000 1.500
677325.000 5149100.000 1.500
677350.000 5149100.000 1.500
677375.000 5149100.000 1.500
677400.000 5149100.000 1.500
