This file contains receptor locations
X_coordinate  Y_Coordinate  Z_Coordinate
----------------------------------------------
690375.000 5208850.000 1.500
690400.000 5208850.000 1.500
690425.000 5208850.000 1.500
690375.000 5208825.000 1.500
690400.000 5208825.000 1.500
690425.000 5208825.000 1.500
690450.000 5208825.000 1.500
690475.000 5208825.000 1.500
690375.000 5208800.000 1.500
690400.000 5208800.000 1.500
690425.000 5208800.000 1.500
690450.000 5208800.000 1.500
690475.000 5208800.000 1.500
690500.000 5208800.000 1.500
690525.000 5208800.000 1.500
690550.000 5208800.000 1.500
690350.000 5208775.000 1.500
690375.000 5208775.000 1.500
690400.000 5208775.000 1.500
690425.000 5208775.000 1.500
690450.000 5208775.000 1.500
690475.000 5208775.000 1.500
690500.000 5208775.000 1.500
690525.000 5208775.000 1.500
690550.000 5208775.000 1.500
690575.000 5208775.000 1.500
690600.000 5208775.000 1.500
690350.000 5208750.000 1.500
690375.000 5208750.000 1.500
690400.000 5208750.000 1.500
690425.000 5208750.000 1.500
690450.000 5208750.000 1.500
690475.000 5208750.000 1.500
690500.000 5208750.000 1.500
690525.000 5208750.000 1.500
690550.000 5208750.000 1.500
690575.000 5208750.000 1.500
690600.000 5208750.000 1.500
690625.000 5208750.000 1.500
690650.000 5208750.000 1.500
690675.000 5208750.000 1.500
690325.000 5208725.000 1.500
690350.000 5208725.000 1.500
690375.000 5208725.000 1.500
690400.000 5208725.000 1.500
690425.000 5208725.000 1.500
690450.000 5208725.000 1.500
690475.000 5208725.000 1.500
690500.000 5208725.000 1.500
690525.000 5208725.000 1.500
690550.000 5208725.000 1.500
690575.000 5208725.000 1.500
690600.000 5208725.000 1.500
690625.000 5208725.000 1.500
690650.000 5208725.000 1.500
690675.000 5208725.000 1.500
690700.000 5208725.000 1.500
690725.000 5208725.000 1.500
690750.000 5208725.000 1.500
690325.000 5208700.000 1.500
690350.000 5208700.000 1.500
690375.000 5208700.000 1.500
690400.000 5208700.000 1.500
690425.000 5208700.000 1.500
690450.000 5208700.000 1.500
690475.000 5208700.000 1.500
690500.000 5208700.000 1.500
690525.000 5208700.000 1.500
690550.000 5208700.000 1.500
690575.000 5208700.000 1.500
690600.000 5208700.000 1.500
690625.000 5208700.000 1.500
690650.000 5208700.000 1.500
690675.000 5208700.000 1.500
690700.000 5208700.000 1.500
690725.000 5208700.000 1.500
690750.000 5208700.000 1.500
690775.000 5208700.000 1.500
690800.000 5208700.000 1.500
690325.000 5208675.000 1.500
690350.000 5208675.000 1.500
690375.000 5208675.000 1.500
690400.000 5208675.000 1.500
690425.000 5208675.000 1.500
690450.000 5208675.000 1.500
690475.000 5208675.000 1.500
690500.000 5208675.000 1.500
690525.000 5208675.000 1.500
690550.000 5208675.000 1.500
690575.000 5208675.000 1.500
690600.000 5208675.000 1.500
690625.000 5208675.000 1.500
690650.000 5208675.000 1.500
690675.000 5208675.000 1.500
690700.000 5208675.000 1.500
690725.000 5208675.000 1.500
690750.000 5208675.000 1.500
690775.000 5208675.000 1.500
690800.000 5208675.000 1.500
690825.000 5208675.000 1.500
690850.000 5208675.000 1.500
690875.000 5208675.000 1.500
690325.000 5208650.000 1.500
690350.000 5208650.000 1.500
690375.000 5208650.000 1.500
690400.000 5208650.000 1.500
690425.000 5208650.000 1.500
690450.000 5208650.000 1.500
690475.000 5208650.000 1.500
690500.000 5208650.000 1.500
690525.000 5208650.000 1.500
690550.000 5208650.000 1.500
690575.000 5208650.000 1.500
690600.000 5208650.000 1.500
690625.000 5208650.000 1.500
690650.000 5208650.000 1.500
690675.000 5208650.000 1.500
690700.000 5208650.000 1.500
690725.000 5208650.000 1.500
690750.000 5208650.000 1.500
690775.000 5208650.000 1.500
690800.000 5208650.000 1.500
690825.000 5208650.000 1.500
690850.000 5208650.000 1.500
690875.000 5208650.000 1.500
690900.000 5208650.000 1.500
690925.000 5208650.000 1.500
690325.000 5208625.000 1.500
690350.000 5208625.000 1.500
690375.000 5208625.000 1.500
690400.000 5208625.000 1.500
690425.000 5208625.000 1.500
690450.000 5208625.000 1.500
690475.000 5208625.000 1.500
690500.000 5208625.000 1.500
690525.000 5208625.000 1.500
690550.000 5208625.000 1.500
690575.000 5208625.000 1.500
690600.000 5208625.000 1.500
690625.000 5208625.000 1.500
690650.000 5208625.000 1.500
